error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,色小,10,0,0.01,0.0,1.0,5.0436,22.2738,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,必吃,21,6,0.0209,0.0008,0.7778,3.2056,18.554,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,步行1,10,1,0.01,0.0001,0.9091,3.9448,17.0902,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,上岛,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,司导,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,嘉年,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,嘉年华,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,年华,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,旅行日本旅行,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,日本一,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,昊你,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,游意,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,游意大,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,游意大利,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,行日本旅行,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,街1,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,（香,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,（香港,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,：中环,6,0,0.006,0.0,1.0,4.56,16.0686,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,本一,8,1,0.008,0.0001,0.8889,3.7315,14.4099,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_up,UP false positive,extract neutralizers that suppress broad UP over-triggering,行1,10,2,0.01,0.0003,0.8333,3.4339,14.3195,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
