target_label,frame,cue,cue_type,source_basis,rationale,weight_1_3,context_rule,count_UP,count_DOWN,count_NEUTRAL,empirical_label,empirical_share,merge_source,llm_docfreq,mean_confidence,example_post_ids
DOWN,academic_difficulty,硕士论文写的很糟糕,domain_frame,LLM_train_extraction+XHS,描述自己或他人在学业上的失败或困境，暗示处于劣势,3,用于表达学业或工作中的挫折、受限或不利,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03058|dc_04037
DOWN,authority_control,被要求删掉,relational_marker,LLM_train_extraction+XHS,表现出被工作人员控制和限制的情境，支持DOWN标签,3,当描述被强制要求删除或限制行为时使用,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03071|dc_04050
DOWN,being_overwhelmed,出了什么事就找我,relational_marker,LLM_train_extraction+XHS,暗示自己被过度依赖或被利用，体现低能动性和被控制状态，支持DOWN标签,3,当表达自己被频繁依赖或被动接受责任时使用,0,2,0,DOWN,1.0,train_llm,2,0.775,dc_03389|dc_04368
DOWN,career_limitation,没机会留在广州,relational_marker,LLM_train_extraction+XHS,表达对职业发展的限制和失落感，暗示自己处于不利位置,3,当表达“没机会”或“受限”时，适用于DOWN标签,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02653|dc_03842
DOWN,career_stagnation,面临职场天花板,domain_frame,LLM_train_extraction+XHS,描述工作遇到瓶颈，体现职业受限和压力上升，支持DOWN标签,3,用于描述职业发展受阻或压力增大的场景,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_02673|dc_03862
DOWN,city_in_difficulty,误入了莫奈的花园,domain_frame,LLM_train_extraction+XHS,暗示城市中的浪漫场景可能是虚幻或受限的体验，带有被困或受限制的隐喻，符合DOWN标签的困境感。,3,描述城市景色时，强调虚幻或受限的感受时使用,0,2,0,DOWN,1.0,train_llm,2,0.7,dc_03685|dc_03755
DOWN,competition_pressure,卷疯了,relational_marker,LLM_train_extraction+XHS,表达对留学竞争激烈的担忧，暗示压力大、局势严峻，支持DOWN标签,3,用于描述竞争激烈、压力大的场景，不应用于表达积极成功,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_01121|dc_01261
DOWN,conflict_or_control,多次出现说需要好好告别,domain_frame,LLM_train_extraction+XHS,反复强调告别，暗示被束缚或无法摆脱的冲突状态,3,多次出现且带有“告别”字眼，体现反复的冲突或被控制,0,2,0,DOWN,1.0,train_llm,2,0.8,dc_03165|dc_04144
DOWN,conflict_or_control,奇葩顾客,domain_frame,LLM_train_extraction+XHS,用‘奇葩’形容顾客，暗示顾客难以应对或带来困扰，体现被控制或冲突状态,3,描述顾客行为或特质时，强调负面或难以应对的特性,0,2,0,DOWN,1.0,train_llm,2,0.9,dc_03553|dc_04532
DOWN,conflict_or_danger,楼下大门坏了,domain_frame,LLM_train_extraction+XHS,描述环境存在安全隐患，暗示受限或危险状态，支持DOWN标签,3,当描述门锁、门坏、被破坏等情况时使用,0,3,0,DOWN,1.0,train_llm,3,0.8,dc_00256|dc_00166|dc_00266
