id,content,gt,predicted
uc_00007,"澳洲留子两个半月逆天改命爆减40斤+
接上篇很多宝问我怎么减肥？分享前我要说明 我的减肥非常错误小白，不健康不要学，本来不应该分享出来害人制造焦虑 这个世界不公平对女性要求太高了…😃
8.28到现在共减掉40多斤，上次发帖后又-5kg，目标55KG，身高172. 我减肥方法每天都饿死 没💩就吃CW西梅片😂酮疹我吃抗生素 低血糖就躺着吐拉肚子也不吃一点糖 饿死鬼的同时高强度打工运动 不打工就去健身房爬坡慢走一个半小时，低血糖从跑步机掉下来回家躺半小时继续去爬 结果不骗人最近的两周我根本没法控制我的大脑了 因为我吃的更少了我暴食我就催吐嗓子疼 饿的情绪失控 人很抑郁 以上都是副作用 但我真的太想瘦了 死也要瘦我还在坚持！瘦了才有爱情！饮食方面我觉得蛋白质是最强饮食，抗饿，减肥第一月一定要对自己狠😠因为是你毅力最强的时间，掉秤也明显很有动力，我第一个月摄入每天控制在300卡左右，体重不会一直下降 大小平台起起伏伏很正常 不会没有平台 我这么极端都经历N+平台 坦然对待数字
🍚主食：全麦面包麦芬 糙米 甜玉米和南瓜 想掉秤就不吃主食 （但会长酮疹）
🥩肉食：三文鱼❤️ Coles即食火腿 鸡腿肉去皮 鸡胸肉 黑胡椒牛排
🥬辅食：花生酱 酸奶 草莓解馋 瘦的快就绿叶菜 西红柿. 忍不住暴食薯片就吃豌豆脆, 搭配低卡高蛋白的茅屋芝士，让薯片会有饱腹感升糖慢😅无添加剂口淡才是减肥的关键 高盐0热量但是会让你食欲失控 少吃精细食物 能吃生的我直接吃 减肥的关键不是卡路里 是去找低升糖平稳食欲的食物（高蛋白质or优质脂肪比碳水抗饿）因为血糖控制大脑后期你真的没法控制 我一天就吃一顿有时候会胃疼….但吃早饭会让我食欲失控. 运动我就逛街逛超市能走路绝不坐车能站着绝不坐着 这些日常消耗最有效. ⚠️减肥要发展除了吃以外的一个爱好，不然一定坚持不了！我的爱好就是搞钱花钱ENFP，我就一直在自己脸上砸钱，打工赚钱，而且亲测ct杨国福麻辣烫打工一天500+大卡！有效Do脸减肥化妆能让女人脱胎换骨！瘦下来之后才能感受世界的善意，现在我冰箱门打不开都有人关心我，这要在以前都得笑话我把冰箱门掰坏了. 对我而言，这一次我是孤注一掷，减肥成了，就是脱胎换骨，失败了绝对没有好的身体再来一次了，因为这三个月实在是太黑暗….但是相信 坚持下去一定会得到自己想要的结果！
#悉尼减肥
#悉尼留学生
#澳洲留学",0,2.0
uc_00049,"一天一顿 瘦太快了丨已掉18.5斤
📝初始体重:112
📝今日体重:93.5
📝目标体重:95
—————————
🥣早餐:🈚️
🥣午餐:喝咖啡（12:30
🥣加餐:清淡麻辣烫（16:30
🏂运动:🈚️
💦喝水:2L
—————————
大苹果🍎的碎碎念:
[星R]下午好呀小宝们！今天一觉睡醒中午十二点啦，但是起床后没什么食欲就只喝了杯黑咖啡，午饭吃了一丢丢，等下午上完课后才开始饿了，所以就把中午买的饭吃掉啦！
[星R]今日是臭美版大苹果！拍了两种风格的照片 小宝们更喜欢韩系果or日系果呢
 #减肥   #减肥打卡   #生活化减肥 
 #减肥减脂吃这些   #保持饥饿感   #纯饮食吃瘦 
 #一天吃什么   #一天只吃一顿   #每天少吃一点点 
 大苹果更适合哪种风格哇",0,2.0
uc_00380,"🇭🇰面试结果 | 被拒啦😀
虽然点开邮件前还告诉自己——没关系没关系被拒就被拒也不是第一次被拒了怕什么大家不过是各取所需放平心态
	
但下午快六点收到拒信后
整个人还是……
面无表情地回了个“no worries, Thank you for your reply and have a goodnight.”
	
然后就换衣服去跑步
我生的是我自己的气😡☹️",0,2.0
uc_00431,"避雷避雷
北京瑰丽酒店欢迎水果昨天几个橘子 今天三颗李子 这个价位的酒店欢迎水果就这？？ #北京瑰丽   #酒店欢迎水果",0,2.0
uc_00446,"求助：要不要答应
最近有个黑人留学生追我，人挺善良真诚，还说把留学补助给我，没和外国人谈过恋爱，我要答应他吗？[鄙视R]
我应该要注意什么，我是不是应该拒绝他跑吗[哭惹R]！",0,2.0
uc_00491,"香港🇭🇰月租💰4300的房子🏠长啥样
从去年七月开始至今，东西越来越多了，要断舍离了 #我的家里不能没有植物  ## #布置自己的小房   #一人居改造   #出租屋改造指南   #一个人的小窝   #出租房改造",0,2.0
uc_00518,"谁能教教我怎么做包菜！难吃到吐！！
各位朋友，我想请教一下为什么一个炒包菜可以做的如此难吃
- 难吃到什么程度呢：我一个对自己厨艺滤镜开到100/100的人吃了一口都难以下咽。
- 难吃在哪：完全没味道，不入味。有种奇怪的将有味道，我用的是味极鲜，但是感觉这个味道好怪。
- 我咋做的： 我放了蚝油，鸡精，酱油，糖加水搅拌倒进去。
然后就出来一个很难吃的包菜了。	
有人能教教我哪里错了吗？或者可以怎么改进吗？
有好吃的酱油推荐吗？
我看着xhs教程做的，可是真的难吃到让我失去了所有手段。
	谢谢各位大厨🧑‍🍳  #做菜我是认真的   #厨房小白成长记  #黑暗料理   #做菜   #家常菜教程   #家常菜分享   #干锅包菜   #包菜   #好吃又简单   #厨师",0,2.0
uc_00549,"牛马的冰箱。。。
一晚上预制俩月的早餐
 #当代年轻人的冰箱   #带饭的尽头",0,2.0
uc_00563,"舍友给我开的药 大家帮我看看能行吗

最近有点食欲不振，就让舍友给我开点药。问问舍友开的药房能吃吗 ，有啥副作用没有。[害羞R][害羞R][害羞R][害羞R] #有点离谱但别太离谱   #好物都在买",0,2.0
uc_00570,"大学生如何在一晚内入账600元

在这里，我想回忆一下我——一个普普通通的大学生，是如何在短短一个晚上入账600元的。

看到这里，或许有人不敢相信，600元，一个晚上，对于很多人来说都是遥不可及的，更何况是大学生呢？或许有人会想，我身上一定有一些过人之处，或是一技之长。不，这些都没有，我只是万千普通的大学生中的一员，从没想过拥有这样非凡的成就，但是我，的的确确做到了。

下面我将和各位进行无私的分享，讲一讲我是如何创造奇迹，实现这种“不可能”的。

	

走到这里，我总共用了两步：

	

步骤1️⃣：家教2.5h，入账200元，总计200元。

	

步骤2️⃣：家教回去路上被车创，车主赔偿400元，总计600元。

	

走到这里，很不容易。我的成功或许不可复刻，但这段经历会永远激励我不断前进。我会一直记得那个有些寒冷的夜晚，我骑着电动车，耳边划过的阵阵寒风，记得过红绿灯时，看见汽车不要抱有侥幸心理，一定要及时刹车，我也会记得在不幸被创时，坚决维护受害者权益的自己。

	

 #大学生消费观   #大学生赚米   #大学生副业   #大学生财富自由   #勤工俭学的大学生是最棒的   #贫困大学生   #大学生再就业   #大学生独立   #赚钱养自己",0,2.0
uc_00598,"为什么我的烟熏妆像被人来了一拳
求老师姐姐们指点🙏🙏🙏🙏🙏🙏🙏其实我所有的眼妆都想被人来了一拳 ，只不过这次紫色眼影太像了，求高人指点一二，求求了🙏🤲🤧
 #玩妆 
 #紫色眼影 
 #眼妆不重样 
 #烟熏妆 
 #化妆前后",0,2.0
uc_00619,"急急急 三天储水5.1斤 心态崩了
很久没有吃早餐 前天早上吃了两个素包子齁咸 近六七年来吃过最咸的包子 没有之一  中午吃了腊肉夹馍 有点咸 下午六七点吃了冒菜 麻➕咸  凌晨回来看到凉拌菜巨馋 要么半斤 不要辣多麻版 凌晨1点酷酷喝水喝了5杯。。。 第二天出门整个人肿的
	
昨天莫名很暴躁 心情超级无敌不好 整个人很down 喝了三罐500ml的勇闯天涯啤酒 买了凉拌菜  今早起来一称 好不容易下去的118.3 今早变成了123.4[哭惹R]
	
刚刚照镜子看眼睛脸都超级肿 比昨天前天还肿😰
	
有因必有果，种什么树结什么果具象化，因为凉菜和咸和水还有啤酒 储水了 早上破天荒地起来买了两斤香蕉两斤苹果 来个人救救我该怎么排水最快哇 #减肥   #减肥搭子   #减肥经验   #减脂人的精神状态   #储水   #身体储水   #齁咸   #救命   #排水   #水肿",0,2.0
uc_00624,"液断期间为什么还会拉💩啊？
正式液断的头一天晚上吃了小碗螺蛳粉，然后开始液断，前三天都是黑咖啡配纯净水，今天第四天中午喝了一杯库迪，居然有💩感，去厕所还真的窜了，难道是4天前的那碗螺蛳粉？天呐，我是肠子太长了还是肠动力不足啊，居然4天才排出来[黑薯问号R][黑薯问号R][黑薯问号R]
还有一个，过午不食的时候，拉屎再也不粘马桶了，以前没减肥正常一天三顿的时候，大便都是粘马桶而且上厕所很艰难，现在后知后觉以前大吃大喝真的给肠胃带来很大负担了，其实瘦下来就不会湿气重了，之前以为自己湿气重，泡脚喝祛湿茶都没用，还是得少吃、少吃、再少吃！ #液断   #减肥   #带着饥饿感入睡",0,2.0
uc_00668,"为什么他拍没有网感？
后置感觉好奇怪
总感觉自己长得像男的
 
#随手拍 #一张照片",0,2.0
uc_00726,"大三下是人生中最焦虑的时刻
每天都在焦虑
所学专业竞争很大
也不是自己喜欢的
不知道毕业后做什么
不知道怎么去一个大公司实习
每天想到这些就掉眼泪
感觉自己很没用",0,2.0
uc_00728,"求低精力变高精力教程
高精力人群和低精力的本质区别到底在哪里？为什么她们一天可以做这么多事？
感觉她们一天可以干我一个星期干的事情，我每天连玩手机和起床都会觉得好累……
好羡慕高精力群体
 #发自内心的疑问   #有一些想法   #有多少人和我一样   #并且有自己的见解   #乱七八糟的想法   #大家畅所欲言   #我真的不理解   #突然的有感而发   #只有我这样吗   #一点点思考",0,2.0
uc_00788,"虽然是裸考
差生文具多，虽然是裸考，但还是很紧张#315假 #广东省考",0,2.0
uc_00807,"演技派男友如何用8年给我上最后一课
💔断崖分手第1天 我亲手埋葬了那个""宝宝""
他最后一次叫我""宝""是在分手微信里
前一秒还在讨论结束异地后的各种计划
下一秒就收到了""家庭全员反对""的判决书
💔八年恋爱长跑抵不过：
- 春节家族会议全票否决我的""贫困户""出身
- 突然开窍""我值得更好的""清醒宣言
- 周末陪酒局变相亲宴（对方是某局长千金）
演技鉴赏课：
✅ 强忍厌恶陪我出游
✅ 每日承诺堪比渣男教科书
✅ ""憨憨""原来是精准扶贫的暗号
曾经以为的双向奔赴，原来是单人马拉松
但27岁的我突然清醒：
真正的上岸，是游出有毒的潮汐
	
后续1：这是26号晚上我发在评论区的，不知道为什么置顶失败了。“周日晚上又回来说离不开我，跟局长女儿没有聊天的欲望，我心软了，觉得只要他以后能坚定选择我就好了，我可以原谅他，我们可以重归旧好。
今天又跟我说，周日是他自己太冲动，他还是觉得应该去追求更好的，我说只要我们一起努力，所有问题都可以被解决，但是他说另外一条路没有这些问题，可以不用努力，他选择另外一条路。我求他不要这样对我，他说我太冲动说他都这么渣了，我还想跟他在一起……他求我放手……” 。
	
后续2：今天是3月2号，27号晚上十点半删除拉黑了所有联系方式，也有祝福他能越来越好。大概11点半，收到他的微信好友提醒，我没有通过。他能看清楚自己到底想要什么，我为他感到高兴，但是当他又回头来找我时，我真为我自己感到不值得。
这应该就是这个故事的结尾了。
#断崖式分手 #上岸第一剑 #扶贫式恋爱#爱本就是瞬息万变 #过去的承诺就留在过去吧 #爱本来就是无解的命题 #爱了很久也会分开 #原来爱到最后都一样 #感受不到就是没有",0,2.0
uc_00851,"🎲澳门赌厅实录 懂的都懂
我们贩卖清醒给醉客，
自己却吞下整座城厅的混沌。
白衬衫第二颗纽扣的阴影里，
藏着第246次被扯断的尊严线头，
皮鞋尖永远比心跳早0.3秒转向——
避开客人shu光前的最后目光。
最痛的默契是，
当客人摸向第九个筹码时，
我们同时别过头去——
他假装没看见我眼里的劝阻，
我假装没读懂他颤抖的指尖。
他们说这是服务业，
其实是当人性的拾荒者：
捡起醉酒客掉落的照片，
收容暴发户膨胀的虚荣心，
当晨曦刺破水晶吊灯那刻，
我们蜕下带香水味的皮囊，
变回巷尾牛杂摊的食客，
用滚烫的汤，
浇醒被霓虹腌渍的灵魂。
这份工最苦的其实不是夜班，
是当人性的园丁，
却要在暴雨季亲手掐灭开得最疯的花。
凌晨三点劝人收手的台词，
在喉间磨成带xue丝的珍珠——
既怕客人当真，更怕自己认真。
#澳门 #澳门永利皇宫 #澳门威尼斯人 #澳门旅行 #澳门打卡",0,2.0
uc_00875,"🇭🇰Polyu小火锅的量也太
大了吧，一个人根本吃不完吃不完。#polyu",0,2.0
uc_00970,"15岁宝宝雅思首战8.0
如愿如愿",0,2.0
uc_01035,"健身房把平安扣打扁了
老天奶，我要哭了 健身房这个器械，我还没练试试重量，它就打在我胸口。把！我！的！黄！金！平！安！扣！打扁了（猜猜这个器械练哪里？）",0,2.0
uc_01146,"这个月的我向下个月的我借了2500
对于做假账开始无师自通
#攒钱日记#少而精的消费#我的消费观#存钱大作战#低欲望消费#我的钱呢",0,2.0
uc_01269,"根本没活干呀😅
正职就坐在我旁边啪啪敲键盘点鼠标，我在自己工位上低头玩手机…带教根本懒得理我的样子，没有活要干为什么招实习生呀#实习 #实习生摸鱼 #上班没事干 #无聊的工作",0,2.0
uc_01363,"大家好，我又来了😭
好多人说我编的，放点证明吧#小红书分配对象 #相亲交友 #今年主线任务 #脱单 #00后 #择偶标准 #让大家见笑了 #分配对象 #大学生 #大学城 #深圳 #广州 #南科大 #灵魂伴侣
还是求求大家给点建议，让我有点b数

我原生家庭挺成问题的，所以可能我不会爱人",0,2.0
uc_01392,"拍这张准考证照片是我最自卑的时候🥺
#甜妹 #今年N个漂亮时刻 #准考证 #看我几分像从前 #真长这样就好了 #vivoS20 #vivoS20拍得漂亮 #手机摄影",0,2.0
uc_01484,"在香港🇭🇰打工之化妆品都发霉了是什么体验
好久不见 嘻嘻#来聊聊你的副业 #打工日记 #vlog流水账 #香港 #香港工作 #香港工作日常",0,2.0
uc_01837,"🇭🇰pre简直易如反掌
和上3小时的课➕改173份作业来说
Pre都显得眉清目秀了
#像呼吸一样简单 #退一万步来说 #香港 #香港留学 #算了你肯定觉得 #pre #日常",0,2.0
uc_01976,"完全张不开嘴和local讲粤语
起因就是和local朋友吃饭 然后接了个电话说要面试 讲的粤语
然后就聊了几句我会一些粤语的事情
他就很高兴地说哎呀那我们讲广东话
然后 我看着他 就是完全张不开嘴
就是 我没办法在明知道别人普通话比我的粤语好的情况下讲粤语
还是在native speaker面前
然后我一紧张 脸都涨红了
然后我说不行 我实在和你说不了广东话
唉我服了
前几天和自己自言自语模拟广东话对话
然后该你说了的时候又说不出来
就是除了在面试这种必须要说广东话的场合
我都 说不出 广东话
我服了啊 我服了
真废物 hlr真废物
#香港留学 #香港科技大学 #粤语 #广东话",0,2.0
uc_02015,今天下午头疼的要裂开了 所以今天就不猛学了家人们 简单分享一些之前考一级的碎片 明天猛猛学,0,2.0
uc_02021,今天做的是2018年的专八真题。 结果很惨烈,0,2.0
uc_02042,气笑了去年对答案不带写译30分 心酸备考一个月 归来29哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,0,2.0
uc_02048,节俭05后，iPad11用几年都不换了…,0,2.0
uc_02179,虽然复习不进去,0,2.0
uc_02216,"［回忆］2_动画师到游戏开发
看到封面，先不要急着 喷我抄袭侵权。
我来说说这个事。
 
接前文，
在福州做着动画，生活还可以持续。
没有什么晚上睡觉休息，
白天工作，晚上和小伙伴玩着魔兽世界，
那时候广告就是什么男科医院的广告。
日子还能维持。
网上最好的flash作者聚集地闪吧，
我们也是前二十的动画作者。
但是，好景不长，优酷土豆出来了。
大家也慢慢不看简陋的flash动画，
我们以光速被淘汰，
五个月后，团队解散，
我一个人拉着一三轮车的家当回到老家。
虽然团队解散，但是转机又出现了，",0,2.0
uc_02231,"真的好羡慕有房有车的女孩子
小时候就有个愿望，长大了可以拥有自己的房子，养一条叫“人民币”的德牧狗子。
 
现在30岁了，通过婚姻，倒是过上有房有车有狗的生活……但是，这些并不是属于我的，我依旧孑然一身，仅有几万属于自己的存款。
 
我也想要属于自己的房子，只有我自己有钥匙，任何人来到这座房子里，都属于客人。
 
经济不独立让我内心始终感到困窘，我没有那么大的能力去月入几万，甚至目前还在哺乳期，除一点文案与设计的兼职外，没有正式收入，这让我感到压力。",0,2.0
uc_02242,"我在哥大读新闻，睡不着，想退学
如果可以，我真想给去年的自己托梦：别美滋滋地再次相信自己是万里挑一的真天鹅假丑小鸭了、别按下那个诱人的接受键，别骗自己是被宇宙中心选定的那个可以变人中凤凰的傻妞。
 
光看着身边的人为我开心就足够我说服我自己这将是一笔止盈不亏的投资。拿了奖学金每个学期还要将近三万的学费又怎么样。我录的是新闻学院，甚至还是这几年最流行的数据新闻硕士专业。又写码又写作，这就业机会可太多了，毕业出来之后不得有大把的工作来敲我的门。
 
我失望吗？当然。对对学校，也对自己。",0,2.0
uc_02248,"不会英语的爸妈在伦敦过得比我开心
爸妈来伦敦找我玩，我给他们定了一段时间的Airbnb，手机上下了个谷歌地图，于是他们的日常就是逛公园，逛超市，走路走路不停地走路，买了东西回来做饭，简直开心得不行。
过海关的时候给他们准备了一封信让他们自己打印了拿给海关看，据说海关看了之后啥也没问就挥手让他们进来了，想想我每次进海关都还要被问一大堆就想笑……
爸妈：这边水果蛮好吃的啊！你多买点！
我：贵啊一个橘子三毛
爸妈：这个猪肉这么煮挺好吃的你试试
我：？？？怎么做到的，骚猪这么弄完全没味道啊
爸妈：烫皮呀，你做肉不烫皮？
我：又没人教我！
以及带他们从西伦敦进市中心时，
我：这个地铁又脏又臭又吵
爸妈：这不挺好，复古的风味
爸妈：因为他们发展得早嘛，要理解
总之比起整天抱怨这不好那不好的我来说，爸妈简直阳光得不行……并",0,2.0
uc_02252,"原来有钱人的生活是这样的，看完上吊都没力
#今日话题 #富人和穷人的区别 #贵的东西除了贵什么都好",0,2.0
uc_02291,"课题组发钱了
🙉给我发的还没压岁钱多，还得是发顶刊的兄弟能拿2w #读研日常   #论文   #摸鱼   #研究生日常",0,2.0
uc_02298,"熬夜干论文
写论文，写论文，熬鹰，腰疼，中午就要交了，还没查重，15％的查重率。我室友刚才起来上厕所，我才刚睡，发疯fengfengfeng
努力我要努力我要变成成就伟夜的女人，啊哈哈哈哈哈 #写论文的精神状态   #写论文",0,2.0
uc_02302,"论文极限48H
有人看综艺，有人写论文
这是我决定认真写论文的第三天
也是我截止交稿的倒数第二天[失望R]
真的很过分…我的好同桌真的特别特别贴心[抽泣R]
还让我把吃的放桌子旁边写一会吃一会…
她又又又点了个别的外卖。
22:51
目前进度，开题报告文献综述ing[抽泣R][抽泣R][抽泣R]
 #论文  #崩溃  #好累  #很痛苦的一天  #穷山恶水出刁民  #好好活着  #健康最重要  #生命至上  #我想毕业",0,2.0
uc_02353,"谁能懂研三三月的生活有多爽
想写论文就写论文，想找工作就找工作，想考公就考公，想熬夜就熬夜，想通宵就通宵，想睡觉就失眠，想放松就焦虑。真美好啊
#研究生 #读研#论文写作 #研究生论文 #读研日常#论文 #研究生生活 #工作后读研 #研究生日常",0,2.0
uc_02354,"地震的时候研究生和本科生一下就分出来了
拿着电脑的甚至回去抢救电脑的是马上要毕业的研究生
根本躺在宿舍啥也没感觉到的是做实验累了一天的研究生
醒了但是躺在宿舍根本不想跑的是心如死灰的研究生
在户外拿着手机和朋友聊天的是幸福的本科生

#实验室日常 #读博日常 #科研日常 #科研人的精神状态 #都说博士读的就是心态 #大家注意安全 #科研 #还好还好虚惊一场",0,2.0
uc_02587,"心碎了，，谁懂一下
深圳天气
不敢去做家教
一天损失几百… #轻轻地碎了   #我的命也是命   #有时候真的很无助   #真正的心寒不是大吵大闹   #你欠我的用什么还",0,2.0
uc_02616,"打工暂停 笑死我了
姐妹们，我已经辞职了，以后全职跟你们聊天了，上个破班把我跟大家关系都搞淡了。现实朋友全断了，真交友还得是咱们网上这群姐妹，但是就以后吃饭需要大家接济一下#离职人的精神状态 #离职日记 #上班人没有不疯的",0,2.0
uc_02912,"没有一个人想吃！！！！
做太多了，在pyq问了下在附近的可以过来自取一份，没有一个人要吃的
自己又吃不了这么多，玩烘焙的家人们是怎么处理的呀！
要是我有认识的邻居就好了",0,2.0
uc_02952,"谁还娱乐化Trump…
我们🇬🇧留子真的没惹…
生活成本直线上升
俺不中了…",0,2.0
uc_02964,"刘耕宏直播间的大虾中招了😓😓😓
第一次抖音购物就中招了，本来不怎么用抖音，跟着跳操拉伸，买了一盒虾，大是和直播间一样大，但是质量也太差了，一盒一半多都是这种！！！！！而且不仅仅沙子多，肉还很散，应该是好坏混放的，但是60%～70%的差品，我得去买彩票了吧真的有点生气！
#抖音购物坑 #刘耕宏直播间",0,2.0
uc_02981,"求助 我在香港用話費欠了10213港币？？
姐妹們快幫我看看！！！😭
今天收到賬單直接腿軟了...
這個月的話費居然要！10213！元！？
我直接把手機卡扔了就找不到我了吧。",0,2.0
uc_02991,"普通人果然不适合奢侈品
朋友说自己攒了大半年的钱买了人生第一条 LV 羊绒围巾，脏了之后直接扔进洗衣机洗了，洗完之后缩水成这样…舍不得几十块的干洗费，干废了几千块的围巾🧣",0,2.0
uc_03002,"当你有一个很理性的男朋友
在你伤心难过的时候，他只会跟你说道理，阐述事情的好坏。在你明确的表示目前只想听一些安慰的话语，他依旧还是跟你说道理。一句安慰的话，直到事情结束，情绪自己消化完也没有听到。
在你害怕黑夜跟他诉说的时候，你收获的依旧是一堆道理，整个过程甚至没有一句“别怕”，全是他想法里的道理。#男朋友太理性",0,2.0
