error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",不信，,6,0,0.005,0.0,1.0,4.3527,15.5609,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",膈应,6,0,0.005,0.0,1.0,4.3527,15.5609,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",、退,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",你又不,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",呗，,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",坏痣,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",好痣,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",好痣还,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",好痣还是,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",好痣还是坏,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",好痣还是坏痣,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",岁不,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",希望小,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",是坏痣,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",望小,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",没跟他,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",痣还,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",痣还是,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",痣还是坏,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",痣还是坏痣,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",站姿拍,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",站姿拍照,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",还是坏,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",还是坏痣,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",這裡,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",，一股,5,0,0.0042,0.0,1.0,4.1848,13.8297,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",了台,7,1,0.0058,0.0001,0.875,3.3979,12.4963,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",70岁左,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",70岁左右,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",。党,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",。重点是,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",一下，我,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",不坐我,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",不用爬,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",不能退,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",也不知道该怎,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",也不知道该怎么,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",习证明,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",人死亡,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",人状,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",人状态,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",他给我发,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",但工,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",你能得,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",你能得到,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",你能得到拯,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",你能得到拯救,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",你韩,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",借给,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",到拯,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",到拯救,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",友舍,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
down_to_neutral,DOWN recall gap,"extract low-agency, blocked-aspiration, distress and conflict cues",友舍友,4,0,0.0033,0.0,1.0,3.9833,11.9667,DOWN,low_agency_constraint,domain_frame,add as DOWN cue if train examples show poster worse-off/blocked/low-agency state
