id,content,gt,predicted
dc_00000,和我一起走走吧,2,1.0
dc_00027,"你永远猜不到女生P图P什么～
#p图教程 #轻图",2,1.0
dc_00032,"在香港穿旗袍，被当地大爷骂了……
·
        
不上升地域，只分享真人真事。
        
大年初五，我在香港旅游。
想顺带拍一点复古港风的视频。
这件旗袍比我想象中修身，有点犹豫要不要穿…
但想着来都来了，妆都化好了，还是拍点吧~
        
然后就在去餐厅的路上拍了拍，
期间有接收到一些不太善意目光，
基本都来自当地中老年人。
        
吃完饭回酒店，
又在路上拍了5分钟左右。
（ 走走拍拍、姿势正常，没阻碍交通、没影响行人 ）
        
后来我在路边搜导航，此时已经穿上了风衣外套。
一位70岁左右的大爷，走过我身边，
他停下来，用奇怪的眼神上下打量我和我对象，
还说着我们听不懂的方言。
        
我对象问他有什么事吗，
他继续说着香港话，态度很差。
走出2米左右，用普通话大声说着：“mlgb！”
        
一整个莫名其妙。
        
（ 文案无编辑，更改了下超话 ）",2,1.0
dc_00039,唯愿你 能得到拯救,2,1.0
dc_00052,"6️⃣个男生万能拍照动作 📷摄影师教你出片
#男生拍照姿势 #拍照技巧 #男生穿搭 #拍照姿势不同样 #男生 #拍照如何摆pose #拍照教程 #站姿拍照 #摄影构图技巧 #拍照不求人系列 @摄影薯 @运动薯",2,1.0
dc_00064,"9️⃣个i人小幅度拍照姿势 快来学啊！！
#拍照姿势不重样 #来拍照了 #拍照 #拍照姿势 #站姿拍照 #i人拍照",2,1.0
dc_00065,"逛超市这样拍 太有趣啦！
#骗你生女儿 #拍照姿势",2,1.0
dc_00070,和我一起走走吧,2,1.0
dc_00075,"前两天的温度是接近20度有太阳,去hk的第一天我是像p2这样穿 的,不在海边没有风吹的时候是不冷的,除了拍照的时候没有脱过外 套。在旺角拍照的时候没有挡路也没有给任何人添麻烦但路过的人会 把你当异类上下打量,甚至不怀好意的拿起手机偷拍,给人的感觉很 不舒服。(不包含所有人,忙碌的年轻人还好,特别是中老年人)就算是没脱外套走在路上商场里的时候也会被很多人看。?这两 天穿这样走在广州深圳这些城市的时候都不会有人看,感觉hk对于 穿着的包容性真的挺低的。样的情况让人拍照的时候心情一直很低落,觉得是不是我这样穿真 的很不妥,是不是我真的是异类,是不是真的是我的错。可又觉得出 来旅行想要穿好看的衣服拍点好看的照片不明白哪里有错后来看到一些姐妹也有提到这样的情况,确实来之前没有做好全面的 攻略只收藏美美出片的照片去了,有机会再去的话一定穿得老老 实实的没有任何引战,只是分享个人感受。#穿衣不自由 #香港 #大方展示美丽 #inmyfeeling #香港旅游 # 穿衣自由",2,1.0
dc_00088,"🇭🇰在香港｜沒人能拒绝这一面三角梅花墙
邂逅在春天的浪漫里
	
📍屯安里(叠茵庭楼下)
兆康站F出口步行三分钟
	
#街角遇到的春天 #香港生活 #香港旅游攻略 #三角梅拍照 #赏花拍照攻略 #三角梅花开 #香港三角梅 #藏在市井里的浪漫花墙 #三角梅 #我的城市花开了",2,1.0
dc_00097,"你永远猜不到女生P图P什么～
#p图教程 #轻图",2,1.0
dc_00109,唯愿你 能得到拯救,2,1.0
dc_00120,"看完精修，我的沉默震耳欲聋……🆘
#精修对比 #修图前后对比 #写真修图 #修图调色 #人像修图 #修出氛围感 #有效修图 #我超会p图der #酱烨子修图",2,1.0
dc_00122,"6️⃣个男生万能拍照动作 📷摄影师教你出片
#男生拍照姿势 #拍照技巧 #男生穿搭 #拍照姿势不同样 #男生 #拍照如何摆pose #拍照教程 #站姿拍照 #摄影构图技巧 #拍照不求人系列 @摄影薯 @运动薯",2,1.0
dc_00127,"亏冒烟了😭3-4月有来澳门的，注意啦！
真的不允许来澳门旅游的姐妹还不知道～🙏家人们
🈶新豪影汇9⃣8⃣8⃣ 🉑二晚
🈶康莱德8⃣5⃣0⃣ 🉑二晚
🈶巴黎人9⃣8⃣8⃣ 🉑二晚
🈶威尼斯人9⃣8⃣8⃣ 🉑二晚
🈶银河8⃣5⃣0⃣🉑二晚
🈶伦敦人1⃣2⃣8⃣8⃣ 🉑二晚
🈶丽思卡尔顿1⃣0⃣8⃣8⃣ 🉑二晚
🈶永利皇宫湖景1⃣2⃣8⃣8⃣ 🉑二晚
🈶美狮美高梅9⃣8⃣8⃣ 🉑二晚
🈶万豪8⃣5⃣0⃣ 🉑二晚
🈶上葡京8⃣5⃣0⃣ 🉑二晚
🈶大仓1⃣1⃣0⃣0⃣ 🉑二晚
#澳门推荐 #澳门酒店五折券 #澳门演唱会 #澳门酒店推荐 #澳门攻略 #澳门打卡 #澳门旅游攻略 #澳门特价酒店 #澳门酒店 #澳门旅行",2,1.0
dc_00134,"9️⃣个i人小幅度拍照姿势 快来学啊！！
#拍照姿势不重样 #来拍照了 #拍照 #拍照姿势 #站姿拍照 #i人拍照",2,1.0
dc_00135,"逛超市这样拍 太有趣啦！
#骗你生女儿 #拍照姿势",2,1.0
dc_00139,"大芬油画村一日citywalk😍不走回头路攻略
大家好！我是小肥鸭！
如果在深圳逛腻了商场和公园，
很推荐来大芬油画村度过周末！
里面有画室，陶艺，木雕，藤编等等各种体验，类型非常丰富！
很适合情侣/亲子/闺蜜出行~
今天给大家整理了详细的一日游玩路线！
        
📍地址
深圳市龙岗区大芬油画村
        
🚅交通
地铁3号线（龙岗线）大芬站A1出口，步行大约500米，6分钟左右
        
🎫费用
油画村和美术馆参观都免费，无需预约
🗺️游玩路线
✅《哪吒2》涂鸦墙：到油画村门口后，先不进入，直行200米就能看到（导航大芬油画村4号门）
✅八度空间ART：外面是彩色的涂鸦墙，写着很多周杰伦的歌名，可以免费打卡，进店是19.9元/人，里面很多周杰伦的专辑和周边。
✅大芬国际艺术部落：
营业时间为9:30~17:30
一楼现在展出的油画很多都是和春天相关！各种花主题的画作，很好看~
✅三角梅
就在艺术部落对面，有好几处盛开的三角梅，景色特别好！
✅大芬美术馆：
营业时间为9:30~17:30，周一闭馆
现在正在展出大芬国际油画双年展平行活动《绿色与共存》
里面画作类型很丰富，还有AI画作，非常与时俱进~
✅不急艺术商店&fafago画画狗
两个杂货店，店铺装饰的很好看，但我个人觉得里面小玩意儿的品类不是很多~但老板都很友好！
✅谁画了我的吐司
一个可以在吐司上DIY画画的小店，烤完还可以吃掉！老板人也是特别热情，我们想参观一下也热情招待~下次有时间一定要去体验~
✅回到未来猫咖画室
一家可以撸猫又可以画画的咖啡店！可惜我们去的时候画室满了，只能纯撸猫啦~店内装饰很漂亮，猫猫也很可爱，套餐里有猫条可以喂猫猫，店员也是人很好，给我们介绍每个猫猫，玩得很开心~
        
周末从深圳出发，游遍广东系列还会持续更新！感兴趣记得来看哦~
#春天就要上春山 #旅游编辑部 #周末去哪儿 #深圳游玩 #深圳一日游 #深圳拍照 #深圳citywalk #深圳旅游攻略 #三角梅 #深圳周末好去处",2,1.0
dc_00140,"不记attendance的课就来了两个人
不好说教授和学生哪个尴尬",2,1.0
dc_00141,"吵吵吵吵死了
六楼大桌第一桌 讲话巨大声 我真是不懂了 就算你要讨论有必要全程这么大声吗 太离谱了 真的太吵太吵太吵了 #香港理工大学   #polyu   #唧唧复唧唧",2,1.0
dc_00146,"我真的不懂为什么不能当面说
吃完饭了我去厨房洗碗，结果听见妈妈在小声和爸爸说我怎么怎么不好，特别小声但还是被我听见了。以前也试过早起了但是没出房间，听见爸妈在外面议论我，以为我没听见，其实我都听见了。
心里很难受，怎么排解 ＃家庭关系 #父母",2,1.0
dc_00147,"发现女儿抽烟怎么办？
发现她抽烟，她上大三，烟盒不小心从包里漏出来到沙发上，我刚开始没认出来，打开才知道是烟，我说最近怎么时不时就能闻到烟味，最近还发现她刷牙太频繁，还没来得及问就发现烟盒，后面简单聊了一下她让我别管，我说那你刷那么频繁的牙干啥，女孩子家家抽烟抽的牙黄手黄的想什么样子，结果不知道怎么招惹她了，一下子就摔门出去了.我觉得自己说的没错啊⋯#抽烟 ＃女儿抽烟 #抽烟女生 #求助 #怎么办",2,1.0
dc_00148,"离谱！当你在香港把手机滑进了下水道前几天在旺角，下 Taxi的一瞬间，手机居然划出了车，然后滑进了下水道整个就惊呆了，简直是离谱！！！
不报任何希望打了999，然后999居然给了我一个电话，叫我拨打渠务署电话
然后就真的有人问了我具体位置然后来了，捞出了手机，给香港市政点个赞！
因为当时小哥哥们捞出了手机我好激动，认真一看不是我的，所以我觉得不止是我一个人干过这种事，
这里留个贴，如果有人跟我一样手残，不要着急，可以找回，但尽量咱还是争取拿好了，不浪费公共资源
#手机掉下水道 #手机打捞 #捞手机 #香港报警 #渠务署 #香港生活
#香港",2,1.0
dc_00154,"突发！我在港迪淋成落汤鸡了台在港迪看着看着演出
突然暴雨落下
太刺激了
今日港迪实况
#香港迪士尼",2,1.0
