error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,…甚,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,…甚至,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,但非要,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,出门一,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,州区,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,庆市,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,慢慢的，,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,慢的，,4,0,0.0213,0.0,1.0,5.9863,15.9725,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,但非,4,1,0.0213,0.0001,0.8,4.8875,11.0201,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,就看见,4,1,0.0213,0.0001,0.8,4.8875,11.0201,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,的，就算,4,1,0.0213,0.0001,0.8,4.8875,11.0201,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,这个号,5,3,0.0266,0.0004,0.625,4.2461,8.7292,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,作吐,4,2,0.0213,0.0002,0.6667,4.3766,8.5021,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,作吐槽,4,2,0.0213,0.0002,0.6667,4.3766,8.5021,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,工作吐,4,2,0.0213,0.0002,0.6667,4.3766,8.5021,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,工作吐槽,4,2,0.0213,0.0002,0.6667,4.3766,8.5021,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,真是被,4,2,0.0213,0.0002,0.6667,4.3766,8.5021,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,院是,4,2,0.0213,0.0002,0.6667,4.3766,8.5021,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,区是,4,3,0.0213,0.0004,0.5714,4.04,6.9028,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,离别,4,3,0.0213,0.0004,0.5714,4.04,6.9028,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,个号,5,5,0.0266,0.0006,0.5,3.7939,6.4777,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,不干净,4,4,0.0213,0.0005,0.5,3.7886,5.7886,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,叹息,4,4,0.0213,0.0005,0.5,3.7886,5.7886,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,的信任,4,4,0.0213,0.0005,0.5,3.7886,5.7886,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,个好觉,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,吧。我,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,在关,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,天19,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,天19:,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,睡个好,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,睡个好觉,4,5,0.0213,0.0006,0.4444,3.5878,4.9669,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,会，我,4,6,0.0213,0.0007,0.4,3.4206,4.3365,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,如果一,4,6,0.0213,0.0007,0.4,3.4206,4.3365,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,门一,4,6,0.0213,0.0007,0.4,3.4206,4.3365,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,不知道有,5,9,0.0266,0.0011,0.3571,3.2468,4.1901,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,知道有,6,13,0.0319,0.0016,0.3158,3.0675,3.9198,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,不找,4,7,0.0213,0.0009,0.3636,3.2774,3.8381,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,好觉,4,7,0.0213,0.0009,0.3636,3.2774,3.8381,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,睡个,4,7,0.0213,0.0009,0.3636,3.2774,3.8381,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,到更,5,11,0.0266,0.0013,0.3125,3.0555,3.5327,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,地板,4,8,0.0213,0.001,0.3333,3.1521,3.4347,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,都是人,4,8,0.0213,0.001,0.3333,3.1521,3.4347,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,年毕,4,9,0.0213,0.0011,0.3077,3.0407,3.102,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,年毕业,4,9,0.0213,0.0011,0.3077,3.0407,3.102,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,是假的,4,9,0.0213,0.0011,0.3077,3.0407,3.102,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,泪崩,4,9,0.0213,0.0011,0.3077,3.0407,3.102,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,能活,4,9,0.0213,0.0011,0.3077,3.0407,3.102,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,要自己,6,17,0.0319,0.0021,0.2609,2.8075,3.072,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,排队，,4,10,0.0213,0.0012,0.2857,2.9405,2.8232,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,活下去,4,10,0.0213,0.0012,0.2857,2.9405,2.8232,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
neutral_to_down,DOWN false positive,extract neutralizers for ordinary negative/self-deprecating/non-comparative text,，就算,5,15,0.0266,0.0018,0.25,2.7565,2.659,NEUTRAL,tutorial_information,neutralizer_frame,add as neutralizer or prompt suppression rule; do not use as directional cue
