seed,seed_target,candidate,feature_type,suggested_target,similarity,purity,coverage,ambiguity,context_rule_hint
peer,AMBIGUOUS,pre,word,DOWN,1.0,0.5556,10,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
勉勉强强,DOWN,勉强,char,DOWN,1.0,0.6923,9,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,钱没,char,DOWN,1.0,0.6667,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
求助,DOWN,助求,char,DOWN,1.0,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
求助,DOWN,求助求,char,DOWN,1.0,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只有我,AMBIGUOUS,我只有,char,DOWN,1.0,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
peer,AMBIGUOUS,rep,char,DOWN,1.0,0.6,3,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
放弃一段不健康的感情吧,DOWN,#放弃一段不健康的感情吧,hash,DOWN,0.9167,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
误入了莫奈的花园,DOWN,#误入了莫奈的花园,hash,DOWN,0.8889,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我真的不理解,DOWN,#我真的不理解,hash,DOWN,0.8571,0.8182,9,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,原生家庭的无,char,DOWN,0.8571,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,生家庭的无奈,char,DOWN,0.8571,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,原生家庭的无,char,DOWN,0.8571,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,生家庭的无奈,char,DOWN,0.8571,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
人一直没找到,DOWN,一直没找到,char,DOWN,0.8333,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我不是很满意,DOWN,不是很满意,char,DOWN,0.8333,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,#原生家庭,hash,DOWN,0.8,0.9074,49,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,原生家庭的,char,DOWN,0.8,0.9286,13,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,的原生家庭,char,DOWN,0.8,0.9286,13,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
找不到工作,DOWN,找到工作,char,DOWN,0.8,0.9091,10,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我真的好烂,DOWN,我真的好,char,DOWN,0.8,0.6667,8,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我妈把我删了,DOWN,把我删了,char,DOWN,0.8,0.875,7,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
把我拉黑了,DOWN,我拉黑了,char,DOWN,0.8,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
把我拉黑了,DOWN,把我拉黑,char,DOWN,0.8,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,为原生家庭,char,DOWN,0.8,0.75,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
控制不住,DOWN,是控制不住,char,DOWN,0.8,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
身边朋友,AMBIGUOUS,身边的朋友,char,DOWN,0.8,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
容貌焦虑,DOWN,#容貌焦虑,hash,DOWN,0.8,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
找不到工作,DOWN,不到工作,char,DOWN,0.8,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
找不到工作,DOWN,找不到工,char,DOWN,0.8,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,于原生家庭,char,DOWN,0.8,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
控制不住,DOWN,控制不住，,char,DOWN,0.8,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
黑暗料理,DOWN,#黑暗料理,hash,DOWN,0.8,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,原生家,char,DOWN,0.75,0.8696,40,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,生家庭,char,DOWN,0.75,0.8511,40,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,该怎么办,char,DOWN,0.75,0.6792,36,13,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
走不出来,DOWN,不出来,char,DOWN,0.75,0.5614,32,16,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办？,char,DOWN,0.75,0.7105,27,6,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办，,char,DOWN,0.75,0.641,25,10,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办啊,char,DOWN,0.75,0.875,21,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不被理解,DOWN,不理解,char,DOWN,0.75,0.5714,20,10,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
睡不着,DOWN,睡不着，,char,DOWN,0.75,0.7619,16,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,，怎么办,char,DOWN,0.75,0.7273,16,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没办法,DOWN,没有办法,char,DOWN,0.75,0.6667,16,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
控制不住,DOWN,制不住,char,DOWN,0.75,0.9412,16,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
身边的人,AMBIGUOUS,边的人,char,DOWN,0.75,0.65,13,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,怎么办呢,char,DOWN,0.75,0.8667,13,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
控制不住,DOWN,控制不,char,DOWN,0.75,1.0,13,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
