error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,故障,4,0,0.0328,0.0,1.0,6.4371,16.8741,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,读研日常论,4,0,0.0328,0.0,1.0,6.4371,16.8741,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,读研日常论文,4,0,0.0328,0.0,1.0,6.4371,16.8741,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,，把他们,4,0,0.0328,0.0,1.0,6.4371,16.8741,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,我真想,5,1,0.041,0.0001,0.8333,5.5475,14.0639,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,离职人,6,2,0.0492,0.0002,0.75,5.2121,13.2495,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,离职人的,6,2,0.0492,0.0002,0.75,5.2121,13.2495,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,离职人的精,6,2,0.0492,0.0002,0.75,5.2121,13.2495,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,离职人的精神,6,2,0.0492,0.0002,0.75,5.2121,13.2495,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
up_to_down,direction flip,extract mixed-valence success-after-hardship and high-gloss-with-complaint cues,离职人的精神状,6,2,0.0492,0.0002,0.75,5.2121,13.2495,UP,achievement_elite_education,contextual_frame,treat complaints/setbacks as background when final outcome is achieved advantage/highlight
