id,content,gt,predicted
nc_00008,"液断3天猛掉秤奶茶清单（雪王版🧋❗️
真正适合贫民窟宝宝的液断清单✌️
	
（雪王版❗️❗️ ）
✨𝙏𝙞𝙥𝙨：
1️⃣ ⚠️液断仅适合短期突破，不建议宝宝们超过3️⃣天），宝们身体不适请停止哈
2️⃣优先选择下午6点前喝完，给身体代谢时间
3️⃣选择休息日在家尝试，避免剧烈运动
	
 #减肥经验   #液断   #蜜雪冰城   #雪王   #低卡奶茶   #给我一杯奶茶   #小基数减肥日记   #快乐减脂水",1,2.0
nc_00015,"云南旅游踩中全部雷 超无语超失望
昆明去了公园喂海鸥 景好看风很大
大理古城很无聊 除了拍照打卡没什么好玩的 商业化严重
丽江去玉龙雪山报了一日游团 各种推销 全是坑 花了一堆冤枉钱 回去上网搜才发现不用这样
比如去蓝月谷明明在第二站下比较方便 导游非要我们在第一站下 然后要花钱去做电瓶车 电瓶车会绕远路还贵 又麻烦
本来说包一罐氧气 然后出发前先带我们去氧气中心 说了一大堆故事然后推销高反口服液和氧气 然后去山脚下要你花钱请经幡（自愿版）
	
ps：玉龙雪山的票非常难抢 感觉一般都要找代抢才能抢到 所以才干脆直接报了个一日游团 结果那么多坑 #云南   #旅游   #踩雷",1,2.0
nc_00047,"到底该如何解决不配得感
我觉得真的就是因为不配得感让我活的好痛苦。
	
其实可能就是一包零食，一件衣服，甚至不如我妈衣服的零头，不如我爸打麻将输的零头，但是我还是会不停不停的纠结，不停不停的告诉我自己我不配买
	
然后即使我买了，我也会在痛苦中用着它，觉得自己不配，之后就没有那种一开始想要买它的那种快乐，买完之后也没有满足感。那件物品的意义就没有了，我的人生活着的意义也就没有了。
	
 #不配得感   #想法   #人生   #思考   #人生无力感",1,2.0
nc_00164,女生丑上，上照片,1,2.0
nc_00320,本人167/52kg没什么肉 但是有圆肩驼背 翼状肩胛 脖子前引 这些体态问题。加上是在校大学生 所以预算有限 很纠结是选普拉提好还是健身好。,1,2.0
nc_00438,"苹果电话录音把我害死了啊啊啊啊啊啊
找工作跟hr各种battle薪资！
想录音一下！
结果一点录音，直接人机说了一声：此通话将被录音！！
对面hr冷笑一声：你不用录音的[失望R] #苹果通话录音",1,2.0
nc_00450,"我小时候怎么敢用充电宝钉钉子
砸过坚果，钉过钉子，从床上摔下去好多次，但是充电很慢，充它四五天才能充满，再加上有了新的充电宝就把它扔了 #充电宝   #小米充电宝",1,2.0
nc_00480,"家里没米了但非要吃米饭
煮出来就是这样子[doge]
然后有一半粘锅上铲不下来了
 #爱吃大米饭   #干饭了干饭了   #米饭爱好者   #先吃口饭再说",1,2.0
nc_00486,"曲奇真的太难挤了
对不起，我真不是故意的，主要是太难挤了，实在没有什么方法能轻松一点！只能这样挤了[笑哭R]",1,2.0
nc_00487,"百度副总裁谢广军发朋友圈道歉，把我看笑了
#百度副总裁谢广军道歉#，一个在加拿大留学的13岁小姑娘，为了一个韩国艺人评论的问题，伙同多人公开这名孕妇的信息，对孕妇全家进行骚扰人身攻击，包括不限于诅咒孕妇去死，让孕妇丈夫对她进行家暴等恶毒的信息。
	
从媒体披露的信息以及涉事女孩的嚣张态度来看，这显然不是她第一次做出此类行为。
	
在舆论尚未发酵时，涉事方拒不承认错误；然而，当事件影响迅速扩大后，涉事女孩的父亲——百度副总裁谢广军，却在朋友圈轻描淡写地表示“已经批评过她”，并希望大家“看在她是未成年人的份上，给她一次机会”。
	
这种毫无诚意的道歉，究竟有何意义？难道领导或股东满意了，就能将女儿的恶劣行为一笔勾销？
	
当事人不想着怎么给受害的孕妇一家道歉，结果做父亲的跑去发条朋友圈，求微信好友原谅，真把我看笑了。
	
这根本不是道歉，而是担心舆论压力影响自己的工作和声誉！
	
如果未成年人违法犯罪只需发条朋友圈就能了事，那法律的存在还有什么意义？
	
#百度副总裁就女儿涉嫌开盒孕妇道歉#",1,2.0
nc_00496,"央美状元成绩取消了
你们开心了吧 #美术圈   #央美造型   #美术校考   #美术高考   #美术中考   #艺考   #校考设计   #艺术生   #美术生复读  #央美造型状元",1,2.0
nc_00500,"🇰🇷因生活极度困难而被免兵役的国民演员
妈呀 没想到曹叔童年是这样的ㅠㅠ
	
 #演员   #韩剧   #曹政爽   #机智的医生生活   #韩国男演员",1,2.0
nc_00508,"滑雪时听到一家子窒息对话
前两天在太舞中午吃饭时，隔壁桌坐了妈妈、六七岁大的儿子、婆婆，和滑雪教练四个人。于是不小心旁听到了以下窒息对话：
	
教练：孩子进步挺大的，还有一些习惯的问题要克服，她（妈妈）滑得不错，有一些问题我也给纠正了
	
婆婆听完，冲着教练大声嚷嚷：我请你来是教他（孩子）的，不是让你教她（妈妈）的。然后转头又对妈妈说：你自己滑就行了，你搞清楚，是给他（孩子）请教练，不是给你请
	
教练赶紧解释了几句，说妈妈有基础，本来就滑得不错，他就是帮忙看了一下
	
婆婆不依不饶，继续对妈妈说：雪季还有两天就要结束了，马上足球赛季又要开始了，他（孩子）还有多少时间能练？你在旁边看着自己滑就行了，怎么还去占用他（孩子）的时间？
	
对话全程妈妈大气不敢出，只能一个劲儿解释，儿子也只是默默吃饭不说话
	
[石化R][石化R]
	
到底是上嫁了多少能受这气啊？？我寻思着来崇礼滑个雪也没几个钱吧？
	
另外这孩子也算是养废了
	
 #我不同意雪季结束   #雪友圈",1,2.0
nc_00522,以前长期不运动，昨天突发奇想想开始运动，于是选择了跳绳100下+开合跳20，还以为对自己来说轻而易举，最后差点把自己送走了[捂脸R][捂脸R][捂脸R]，跳完后几分钟，就开始呼吸困难、嘴唇开始发白，双眼模糊泛黑、脑袋嗡嗡直响，后面在床上缓了一个多小时才有所好转[哭惹R][哭惹R][哭惹R] #请适量运动   #夏天到了该运动了   #让运动变成习惯,1,2.0
nc_00527,"ADHD一生之敌
每隔几天都会突然捂着肚子倒在地上打滚
我恨
 #我的命也是命   #人类的悲欢并不相通   #随便活一下算了   #已永远地闭上了眼睛   #就像是失去神经   #我跟你拼了   #注意力   #门把手防撞",1,2.0
nc_00548,"别人开会VS我开会
认真听报告🧑‍🏫记笔记✍️提问🙋社交🧑‍🤝‍🧑
我：卧槽这杯子能吃[猪头R][猪头R][猪头R] #学术蝗虫   #科研狗   #学术会议   #博士生日常",1,2.0
nc_00584,抽象/拼尽全力，无法战胜/  #DeepSeek   #抽象,1,2.0
