term,docfreq,count_UP,count_NEUTRAL,count_DOWN,neutral_share,suggested_target_label,suggested_frame,suggested_cue_type,example_ids
参数,8,2,6,0,0.75,NEUTRAL,product_tool_review,neutralizer_frame,uc_00175|uc_02622|nc_00393|nc_02420|nc_03298|nc_03420|nc_04062|nc_04230
求推荐,18,4,10,4,0.5556,NEUTRAL,tutorial_information,neutralizer_frame,uc_01018|uc_02099|uc_03612|uc_04021|nc_00025|nc_00056|nc_00372|nc_00738|nc_01288|nc_01745
宠物,108,27,48,33,0.4444,NEUTRAL,tutorial_information,neutralizer_frame,uc_00187|uc_00547|uc_00551|uc_00627|uc_00888|uc_00890|uc_01361|uc_01434|uc_01640|uc_01890
天气,87,28,37,22,0.4253,NEUTRAL,tutorial_information,neutralizer_frame,uc_00028|uc_00093|uc_00385|uc_00680|uc_00691|uc_00693|uc_00764|uc_01020|uc_01154|uc_01732
猫,245,93,97,55,0.3959,NEUTRAL,tutorial_information,neutralizer_frame,uc_00102|uc_00148|uc_00161|uc_00163|uc_00187|uc_00201|uc_00206|uc_00261|uc_00303|uc_00552
狗,205,73,79,53,0.3854,NEUTRAL,tutorial_information,neutralizer_frame,uc_00195|uc_00234|uc_00265|uc_00334|uc_00497|uc_00527|uc_00551|uc_00561|uc_00671|uc_00796
避雷,90,15,32,43,0.3556,NEUTRAL,tutorial_information,neutralizer_frame,uc_00431|uc_01658|uc_02452|uc_02730|uc_02948|uc_03131|uc_03264|uc_03265|uc_03304|uc_03608
攻略,273,116,95,62,0.348,NEUTRAL,tutorial_information,neutralizer_frame,uc_00023|uc_00031|uc_00058|uc_00067|uc_00070|uc_00078|uc_00089|uc_00091|uc_00103|uc_00104
合集,32,18,11,3,0.3438,NEUTRAL,tutorial_information,neutralizer_frame,uc_00304|uc_00326|uc_00782|uc_00821|uc_01039|uc_01159|uc_01217|uc_01661|uc_01728|uc_01947
蹲,72,20,24,28,0.3333,NEUTRAL,tutorial_information,neutralizer_frame,uc_00403|uc_00623|uc_01153|uc_01493|uc_01601|uc_01890|uc_01939|uc_01956|uc_01987|uc_02090
链接,19,3,6,10,0.3158,NEUTRAL,tutorial_information,neutralizer_frame,uc_00064|uc_02570|uc_04079|nc_00802|nc_01147|nc_01488|nc_02157|nc_02995|nc_04299|dc_01055
教程,86,36,27,23,0.314,NEUTRAL,tutorial_information,neutralizer_frame,uc_00071|uc_00153|uc_00155|uc_00158|uc_00175|uc_00179|uc_00518|uc_00728|uc_01028|uc_01150
校园,102,42,32,28,0.3137,NEUTRAL,tutorial_information,neutralizer_frame,uc_00220|uc_00352|uc_00461|uc_00603|uc_00650|uc_00655|uc_00687|uc_00708|uc_00729|uc_00742
分享,532,227,164,141,0.3083,NEUTRAL,tutorial_information,neutralizer_frame,uc_00007|uc_00013|uc_00031|uc_00046|uc_00048|uc_00058|uc_00108|uc_00120|uc_00144|uc_00175
路过,64,27,19,18,0.2969,NEUTRAL,tutorial_information,neutralizer_frame,uc_00327|uc_00730|uc_00983|uc_01103|uc_01581|uc_01697|uc_01730|uc_01819|uc_01965|uc_02135
官网,27,18,8,1,0.2963,NEUTRAL,product_tool_review,neutralizer_frame,uc_00093|uc_00108|uc_00385|uc_01119|uc_01126|uc_01601|uc_02077|uc_02090|uc_02570|uc_02634
笔记,133,60,38,35,0.2857,NEUTRAL,tutorial_information,neutralizer_frame,uc_00085|uc_00171|uc_00175|uc_00186|uc_00221|uc_00229|uc_00288|uc_00385|uc_00390|uc_00407
日常,789,326,220,243,0.2788,NEUTRAL,tutorial_information,neutralizer_frame,uc_00007|uc_00013|uc_00017|uc_00021|uc_00040|uc_00046|uc_00144|uc_00155|uc_00186|uc_00198
步骤,19,9,5,5,0.2632,NEUTRAL,tutorial_information,neutralizer_frame,uc_00570|uc_01265|uc_02412|uc_02860|uc_03197|uc_03412|uc_04007|uc_04079|uc_04222|nc_00260
记录,384,173,98,113,0.2552,NEUTRAL,tutorial_information,neutralizer_frame,uc_00005|uc_00071|uc_00082|uc_00090|uc_00091|uc_00092|uc_00102|uc_00175|uc_00274|uc_00326
整理,93,48,23,22,0.2473,NEUTRAL,tutorial_information,neutralizer_frame,uc_00058|uc_00108|uc_00305|uc_00385|uc_00412|uc_00496|uc_00569|uc_00767|uc_00795|uc_01154
下载,21,10,5,6,0.2381,NEUTRAL,product_tool_review,neutralizer_frame,uc_00963|uc_01154|uc_02229|uc_02371|uc_02928|uc_03264|uc_03277|uc_03281|uc_03441|uc_04251
随手,32,23,7,2,0.2188,NEUTRAL,tutorial_information,neutralizer_frame,uc_00027|uc_00108|uc_00110|uc_00451|uc_00604|uc_00666|uc_00668|uc_00672|uc_00682|uc_00837
测评,26,12,5,9,0.1923,NEUTRAL,product_tool_review,neutralizer_frame,uc_00354|uc_00411|uc_00615|uc_00855|uc_01096|uc_01136|uc_01597|uc_02137|uc_02948|uc_03591
