id,content,gt,predicted
nc_00000,"去年二月份打的了 当时选的最便宜的材料 因为当时面诊师只说 价格贵的保持时间最长
结果！没想到 现在一年多了 我仿佛重新长了个下巴 一直没消失",1,0.0
nc_00002,"在韩留子必薅羊毛
1️⃣olive young 免费色彩测试 田浦洞的店面有两个专门的自助机器用于测试
2️⃣p5粉底液 活动价一瓶约一百五人民币 很好用 完全不失我的五六百的粉底 很持妆并且不浮粉 喜欢零妆感的贝贝们🉑冲
3️⃣新世界百货 用外国护照可以免费领取一个饮品券 喝星巴克等饮品店免一次单
4️⃣puradak炸鸡 好吃好吃 比bhc稍微便宜一点
 #留学   #韩国   #留学生   #留子   #韩国留学生   #韩国旅游   #好物分享   #世界能不能对我好一点   #韩餐   #购物",1,0.0
nc_00004,"而我在学校忙着恋爱（虚构故事）
简介：世界末日那一天，最好的朋友向我告白了。
	
几年前写的，也发出来给大家看看吧。
因为标题要劲爆才能引流，所以实在抱歉，但如果不这么做真的没人会点进来看。
我其实也不想剧透的……唉！
希望有一天无论标题写成什么样，都有人愿意看我的作品。
 #原创小说   #小说   #短篇小说    #末日考",1,0.0
nc_00005,"京都柏悦拍照全程免费🆓攻略
‼️一定要在晴天去 阴天的话天气灰突突的光线不好
	
换好和服一直从二年坂三年坂走路过去就可以到柏悦了
(谷歌导航)
	
①🕟在16.00前到达柏悦之后走进去大堂 服务人员会问你有没有预约什么的 就说想去bar
	
-
②16.00之后的话她会给你一个码 扫码预约位置就好了 不需要提前付费 排到你了手机邮箱会给你通知
	
-
③接到邮件去大堂找服务人员  服务人员会引导你前往4楼的bar (如果进入bar就需要付费点酒了)我们选择先在铁板烧和bar中间的长椅拍照 并没有人强迫我们一定要先进去消费 如果服务人员提醒的话就进去点两杯酒就好了哈人均100+
	
-
	
 #和服体验   #为了住酒店而去的目的地   #和服  #京都探店   #日本旅行   #日本   #和服   #日本探店   #京都柏悦   #京都拍照",1,0.0
nc_00011,"一秒钟腿变长（腰细腿短的进）
这次不是标题党
方法
准备姿势：站立，完全放松（可能看起来像🧟，但没错这就是放松的你哈），想象双侧的腹股沟连带小腹的部分区域（图里圈出的部分）是你的腿，好了，变长了
	
走两步试试，会发现腿变得轻巧了，身体感受上会觉得腿变长了，上半身也没那么拥挤了
如果没成功，说明站立还是不够放松，跟🧟好好学习再来试试吧！",1,0.0
nc_00014,"很久没看过只吃口口不吃苦的女主了
第一次看笑佳人的文，其实很久没看过言情了，对这个太太也只是有所耳闻，这两天看完了这一本，其实感觉还不错，来推一推。
从设定上来说，个人认为女主比男主更出彩（这就对了！我就不爱看女主没有主体性的）
女主姚黄真的很可爱，元气妹宝，主体性很强，情商很高更是从不内耗，遇事会张嘴直接问，不会忍气吞声让自己受委屈，漂亮美丽只是她最小的优点，她的性格值得所有言情受虐女主来学学。
当然，就算这篇的男主在我主观看来有一点刻板但也可以吊打很大一部分的言情男主人设了。
请霸总们谨记：沉默寡言高冷范不是没素质不把人当人看！！！
这本的男主suiri虽然也是从头到尾沉默寡言，但人家有嘴，就算是吃醋也不会对女主发脾气，很尊重女主想法，而且处处会为女主着想，自卑真是男人最好的医美。
虽然这篇文是日常小甜文，平均两章一do，但看起来不会腻，有一种细水长流又温暖蓬勃的生命力（尤其是咱们女主妹宝！太可爱了！），整体剧情没什么bug，🌟🌟🌟🌟推荐！
 #晋江小说   #人间清醒女主   #完结推文   #高甜言情推荐   #言情推文   #男主温柔腹黑",1,0.0
nc_00016,"让人流泪的情节和文笔…HP同人新文篇
苯人从初一开始就搜刮了全网的hp同人文，至今已经快十年了，也算是阅文无数。因为是小天狼星激推，所以小天的文看得最多。然而就在这一天，波猪竟然找到了这两年来第一部让我有感觉的小天同人文…
这一篇是我在绿江上误打误撞点进去的，从序言就开始感动。
小天狼星X原女，女主的人设非常格兰芬多，极其符合她的名字丽奥娜Liona，母狮子。从前几篇的文字就可以看出来是一个天生的战士和一个很细腻的小女孩，甚至有的时候还有点女版詹姆的感觉（
主要是作者对于西里斯的描写真的太妙了，完完全全没有ooc，对于布莱克家的描写也非常符合我的心理预期。
文章还混入了大量希腊神话，这种世界观也太新颖了从来没有看过。
现在苯人的状态已经是一点开绿江就要去看有没有更新的程度
	
如果大家不介意目前这篇字数还偏少，还在缓慢填坑的话可以去订阅收藏试试。
老福和绿江都有《HP德尔斐的诅咒》
如果大家喜欢波猪的推荐，波猪将考虑出一个hp同人推荐栏目…[笑哭R][笑哭R][笑哭R][微笑R][微笑R][微笑R][微笑R][偷笑R][偷笑R]
 #哈利波特   #HP   #hp同人   #同人文   #高质量小说  #推书   #我会被文打动   #相信即存在   #小天狼星   #流量",1,0.0
nc_00019,"超丝滑～昆明长水机场20分钟中转换乘
前几天定了上海虹桥直飞宁蒗泸沽湖的航班，没注意看中转时间，到起飞前的一天晚上才发现在昆明长水机场只有50分钟的换乘时间，顿时手忙脚乱，各种查询换乘信息，终于让我找到了解决办法，并亲测成功
	
首先关注一下gzh-昆明长水国际机场，在机场服务下面选择“服务预约”，点击进去以后选择“中转服务”下的-我要预约
	
就会出现图4的信息，选择“在线预约”，填好自己的转乘航班信息
	
如果无法在线预约，可以直接电话预约，电话号码在图6，我当时是凌晨2点打的，一个小姐姐接听的，所以我猜测这个电话应该是24小时在线。接听后小姐姐问了我的身份信息和航班信息，说因为太晚了，中转服务的工作人员8点以后才上班，她会帮我转达。
因为我是第二天早上8点15就要起飞，8点的时候我在飞机上，所以电话里她和我约定，如果上飞机前我没接到电话，那在我落地昆明长水机场后会有工作人员在飞机下等我，如果预约失败，则会在8点以后打电话通知我。
	
后面12点多在昆明长水机场下飞机，内心还很忐忑，在考虑如果没有人接就直接退票了，下飞机走过廊桥就听见有工作人员喊我的名字，你们能体会当时那个激动的心情嘛[哭惹R]，当时觉得那个声音太亲切了，妈妈呀，后面工作人员就带我们上了大巴，这个大巴就在长水机场停机坪下方穿行，不到20分钟，就上了从昆明长水去宁蒗泸沽湖机场的飞机。在大巴上还有工作人员打电话来确实我们是不是成功被接到了，太感动，给负责的机场工作人员们点个大大的赞👍
	
最后有一点，就是只有转乘时间大于45min小于55min才能预约这项服务，转乘时间不在这个区间里的小伙伴需要打电话问一下 #昆明长水国际机场   #昆明长水   #飞机中转   #飞机中转攻略   #紧急中转   #第一次坐飞机   #坐飞机   #飞机换乘   #泸沽湖   #宁蒗机场",1,0.0
nc_00020,"人  头发太香
 #爱用物分享   #洗护 
 #anillo发喷   #loretta护发精油   #护发 
 #三生花  #香香的   #卡尼尔发膜",1,0.0
nc_00022,"大理古城免费的窗口拍照被我找到了！！！
不要再花38块钱买咖啡只能拍五分钟的网红窗口照片了 大理古城就有免费的！怒省38！就在七月八号一分店往前走三百米
📍地址：导航：五个雪人 然后在转角处能看见一个公共厕所 上二楼就能看到有免费的窗口了
注：窗台稍微有点高 个子小的女生需要人或物体辅助上去 窗口外的屋檐是倾斜的 上去的时候一定要注意安全！！！
也可以导航网红店：七月八号一分店 一直往前走30米左右就能看见这个公共厕所了
 #古城咖啡店   #咖啡店窗户   #丽江   #丽江古城   #丽江古城拍照   #丽江古城打卡",1,0.0
