id,content,gt,predicted
uc_00011,蓓蓓太漂亮了,0,1.0
uc_00014,"做医美都这么挣吗
 #美业   #美业新风口",0,1.0
uc_00062,"你幸福的话 我会比你先落泪
 #cos委托   #梦女",0,1.0
uc_00074,"大理跟拍大理洱海98r50张送3张精修 欢迎来大理的小姐姐们,最近洱海海鸥越来越多了,拍起来更更更好 看了~",0,1.0
uc_00136,"宇宙中最开心的小动物～Quokkaaaaaaaaaaaaaa
本人：男
虽然：绝对强悍
但是：于2025年2月25号 被微笑袋鼠的可爱攻击并且融化了🫠🫠🫠🫠🫠
	
#袋鼠 #动物 #微笑袋鼠 #姜扁扁海钓 #可爱 #你想养一只吗😭[PK]#",0,1.0
uc_00143,"Questions about boys sisters, what is a red flag in boys for you? 🚩🚩 姐妹们，对你们来说，男生的危险信号是什么？ #tips #观点 #boys #男朋友 #男朋友材料 #女孩们",0,1.0
uc_00145,Your MBTI as your job! #mbti #MBTI16型人格 #mbti梗图 #intp #intj #infp #infj #entp #enfp #istp,0,1.0
uc_00153,男生化妆 妆容教程 #男生化妆 #妆容教程 #新手化妆技巧,0,1.0
uc_00156,假面妆,0,1.0
uc_00162,"哈哈哈哈哈哈
能看出这是谁的腮帮子吗？",0,1.0
uc_00163,"萌死你们
#小奶猫 #小猫 #金渐层",0,1.0
uc_00168,"是关机就会消失的电子蝴蝶吗🤍🦋
#向全世界安利 #汪苏泷",0,1.0
uc_00172,"交换春天|这是我拍的春，也想看看你的！！💚💐
春天可是很短暂的哦，让我们一起定格这场绿意盎然吧！
	
来，交换一张你拍到的春天。🌿
	
#交换春天 @摄影薯 #窗外的春天 #春天当然要拍花 #定格这场绿意盎然 #树是自然的诗 #拍到古诗词里的春天 #头像 #生命力 #提前预习春天的拍照技巧 #来拍照了",0,1.0
uc_00176,/,0,1.0
uc_00182,"一人来一句他的歌
#宝藏歌手 #华语乐坛 #汪苏泷 #饭绘",0,1.0
uc_00184,"手
#手控 #手腕 #当代年轻人的手 #承包你的手 #张开手需要多大的勇气 #手模 #男孩子的手 #手部按摩 #宝宝的小手 #护手",0,1.0
uc_00197,"龙，不可以喝雨
感谢@一枚kt君 老师的模板😎
#汪苏泷 #素龙",0,1.0
uc_00201,"脑洞无敌了❗️日本插画师笔下的可爱猫猫们🐱
Tocorocomugi的作品主要以童趣的笔触刻画描绘各种各样的猫咪。她的画风呆萌流行，色彩独特，每一只小猫都呈现出不同的神态动作，以拟人的方式展现生活场景，让人觉得温馨又可爱。
	
Designer：Tocorocomugi
Country：Japan
	
#插画 #插画师 #猫 #设计 #艺术 #创意 #创意插画 #日本 #插画分享 #美食",0,1.0
uc_00202,"上班太无聊开始折猪
打印机有吧 彩印有吧 胶棒有吧 打印p4 上班无聊就折起来#它不是死猪 #折纸 #养猪日记 #折一个世界 #猪猪 #小猪",0,1.0
uc_00204,"起航｜🗺️
扬帆起航，去探索海洋深处的奥秘#扬帆起航踏浪前行 #插画 #插画分享 #为梦想启航 #放飞梦想扬帆起航 #数字艺术 #大海 #海浪",0,1.0
uc_00206,"小猫咪可爱鼠了
实测不会刮头发#没人能拒绝猫猫#猫咪美甲",0,1.0
uc_00208,"明天将带着这个手机壳谁支持
#汪苏泷 #鸟巢",0,1.0
uc_00234,"打开监控泪目了 小狗爱我这一点我确信无疑小狗不懂人为什么要离开家那么久
也不懂监控是什么 只知道小小的机器能听到熟悉的声音似乎只有小狗给我的爱 我从始至终都确信无疑",0,1.0
uc_00260,"妈妈妈妈妈
最爱我的是妈妈",0,1.0
uc_00261,"买来的人到家一直响怎么办？
猫，停止炫耀
#捡手机文学 #talkmaker  #爱黏猫的人 #代餐",0,1.0
uc_00278,"谁吃到小熊薯片&
宝想要 宝得到留必例留
#薯片 #香香脆脆的 #小熊 #》#可爱 #小熊薯片#酸奶油味
#pombar",0,1.0
uc_00287,"交换春天|这是我拍的春，也想看看你的！！💚💐
春天可是很短暂的哦，让我们一起定格这场绿意盎然吧！
 
来，交换一张你拍到的春天。🌿
 
#交换春天 @摄影薯 #窗外的春天 #春天当然要拍花 #定格这场绿意盎然 #树是自然的诗 #拍到古诗词里的春天 #头像 #生命力 #提前预习春天的拍照技巧 #来拍照了",0,1.0
uc_00291,"“走的每一步都算数”
#手绘临摹 #铅笔手绘 #临摹速写 #绘画#临摹",0,1.0
uc_00292,"“春日载阳 福履齐长”
#手绘临摹 #铅笔手绘 #临摹速写 #绘画#临摹",0,1.0
uc_00295,"“但偏偏 风渐渐”
#铅笔手绘 #临摹速写 #手绘临摹",0,1.0
uc_00298,"“视我斑驳 享我清秋”
#临摹#人物速写",0,1.0
uc_00310,"不爱才会冷漠
#乱线画#procreate绘画",0,1.0
uc_00311,"调色好难 哪个好看捏
感觉还是原色好看
#乱线画",0,1.0
uc_00317,"停止对自己的灾难化想象
#万能的小红书 #书籍分享 #书摘 #每日书摘 #书摘分享",0,1.0
uc_00318,"停止内耗
#金句
#金句分享
#分享好句
#打动人心的文字
#好句分享
#书摘分享
#书摘短句
#书摘",0,1.0
uc_00334,"打开监控泪目了 小狗爱我这一点我确信无疑小狗不懂人为什么要离开家那么久
也不懂监控是什么 只知道小小的机器能听到熟悉的声音似乎只有小狗给我的爱 我从始至终都确信无疑",0,1.0
uc_00378,"🇭🇰都去看樱花？真的0人在意黄花风铃木吗
东涌樱花要三月底全盛，但是黄花风铃木已经开到美翻了🥹我不信香港还有人没去南昌公园看过🥹
	
📍深水埗南昌社区中心对面
🚇 深水埗地铁站C2出口步行约12分钟, 南昌站10 分钟
🚄出去玩坐高铁先get➡️#香港內地🉑️用高鐵➖10%➕酒店➖33%[投票]# ⬅️
	
这里的黄花风铃就在深水埗南昌社区中心对面，是我目前最最最喜欢的，春天一来又可以看花花了🥹
	
求求其他大家喜欢的春天可以看花/好玩的地方
#香港旅游 #香港 #香港生活 #黄花风玲开花 #港硕 #香港留学 #香港攻略 #香港打卡",0,1.0
uc_00393,"林俊杰香港演唱会 - 国泰航空里数可兑换
（纯分享贴）
	
之前没抢到林俊杰的朋友们可以看看这里啦
	
如果有国泰航空亚洲万里通 里数的可以兑换
票价HK$1680门票 HKD995 + 里数25,000或里数48,000
票价HK$1380门票 HKD805 + 里数22,000或里数40,000
票价HK$980门票 HKD564 + 里数18,000或里数32,000
票价HK$680门票 HKD291 + 里数15,000或里数22,000
票价HK$380门票 里数12,000
	
重要提示
	
第一階段：鑽石卡會員可於2025年3月24日中午12時至下午11時59分優先換購門票；
第二階段：鑽石卡,金卡會員及渣打國泰Mastercard持卡人可於2025年3月25日中午12時至下午11時59分優先換購門票；
第三階段：所有會員可於2025年3月26日中午12時至2025年5月4日下午11時59分換購門票。",0,1.0
uc_00395,"10年前的古早留子👾没有一张照片是白拍的
像素200万，内存256g顶天的年代
每一张照片都拍得有理有据
和现在一个姿势表情先按200张完全不同
	
不完美却张张珍贵
模糊的像素变成时间的粒子
带领我成为我
	
以及咱村里（当年）毫无大logo风气
相比留子穿搭感觉更值得炫耀的是
留子酒量👌
	
#回忆杀 #旧照片 #留学生",0,1.0
uc_00398,"🇭🇰HKT小组面试
想知道hkt30分钟的小组面大概会问什么呀？我是technical stream
如果有参加的友友也可以一起交流下！
#香港it #香港 #hkt #电讯盈科PCCW #graduate #gt #it #香港找工作 #香港搵工 #搵工",0,1.0
uc_00405,"深圳湾口岸海关这么严厉吗？
1700多块钱的鞋也要盘问盒子里面是鞋子还是包！开盒子检查！还要问上次来什么时候！人民币付款多少钱？真的是闲疯了！真的服了……难道过安检机器出现一个H所以说明海关盒子的危险⚠️#深圳湾口岸",0,1.0
uc_00440,"花旗银行误将81万亿美元转给个人
期，据外媒报道，花旗银行2024年4月在处理一笔交易时，错误地将81万亿美元（约合590万亿元人民币）记入了一名客户的账户，而原本计划转账的金额仅为280美元。
	
这一错误发生在银行内部的转账系统中，最初被两名员工忽视，直到第三名员工在交易完成90分钟后才发现并撤销了这笔转账，没有资金实际流出银行。
	
这笔错误转账的金额之大，可以溢价收购整个美国股市，包括所有大型科技公司。
	
这一金额也是世界首富埃隆·马斯克全部资产的200多倍。
	
花旗银行在事件发生后，向美联储和货币审计署做了披露。
	
事实上，花旗银行近年来多次发生类似的交易错误，2020年，花旗银行错误地向露华浓Revlon的债权人转账9亿美元，而不是进行常规的利息支付，这导致了长达两年的法律纠纷，最终花旗银行通过法院裁决收回了大部分资金。
	
2022年，一名花旗银行员工在交易中多输入了一个零，导致欧洲市场崩溃，一度损失了约3220亿美元的市值。英国监管机构因此对其处以6160万英镑的罚款。（来源：钛媒体） #社会观察",0,1.0
uc_00456,"左滑帮我选Linkedin头像～
感谢美式证件照让我无痛体验了小麦色
	
一开始看到这么黑的自己总觉得有点怪怪的
	
以及人真的到了上镜才想起来要减肥[失望R]
	
30+ 互联网市场营销 选短袖还是无袖呢？
 #职业照   #美式证件照   #简历照   #长得像什么英文名",0,1.0
uc_00457,"14岁想变成熟姐姐
今年4月份就22岁了，不管去到哪个城市只要与人交流都会有人误以为我才16.17岁。我不知是何原因直接导致我看起来像小孩，有人会说这是一个值得高兴的好事，但只有身在其中才能感同身受。
我尝试过很多风格，效果却不尽人意
到底怎么样才能摆脱小孩感呢？请成熟姐姐锐评！！",0,1.0
uc_00489,"ၴႅၴ
 #POETWONG 
 #浪漫在逃度假人",0,1.0
uc_00497,"应该是买到了正版柴犬
姿势正确 这个倔样太经典了
 #柴犬宝宝   #柴犬   #小狗成长日记   #小狗",0,1.0
uc_00506,"每日梗图
第14天，今日份梗图 #快乐  #梗图",0,1.0
uc_00515,"养花的和种菜的都沉默了🤐
花瓶？？？！ #生活   #水培   #养花的尽头是种菜   #治愈",0,1.0
uc_00517,"轻食店的工作之片鸡胸肉
所有的鸡胸肉都是鲜肉，去筋膜去油脂，然后进行片鸡胸肉，最后都片完用奥尔良料进行研制，最后进行冷藏保存 #鸡胸肉 #轻食 #鸡胸肉怎么做 ＃吃不胖的肉 #新鲜的食材 #轻食 #齐齐哈尔美食",0,1.0
uc_00524,"父母回国留下沉甸甸冷冰冰的爱😭
一冰柜的冻货……够吃一年的了[笑哭R] #父母回国   #美国生活",0,1.0
uc_00527,"肥美的香蕉船
 #每天都有值得记录的瞬间   #柴犬   #柴犬日常   #狗狗",0,1.0
uc_00531,"南京最牛逼的四件套。。。。。。
烤鸭 盐水鸭 锅贴 鸭血粉丝
 #南京   #南京旅游攻略   #烤鸭   #盐水鸭   #鸭血粉丝汤   #鸭血粉丝  #锅贴",0,1.0
uc_00541,"🇬🇧我也进入蒸汽时代了 谁能分清我跟瓦特
 #英国留学生   #爱吃面食的北方人  #蒸汽机",0,1.0
uc_00542,"500块钱买了这三个
 #满满的收获   #以前舍不得买   #萝卜白菜各有所爱   #我爱绿植   #室内绿植   #一买一个不吱声   #从入门到入土   #发工资后就各种买",0,1.0
uc_00546,"上海哆啦A梦展 紫薯
今天直击紫薯
带本薯过来见薯
 #哆啦A梦周边 
 #哆啦a梦 
 #潮玩展 
 #哆啦A梦壁纸 
 #100哆啦A梦",0,1.0
uc_00551,"两眼一睁就是睡
晒太阳睡是我小狗最喜欢的喽～
 #柴犬   #柴犬日常   #狗   #小狗日记   #是宠物更是家人   #狗狗的沙雕迷惑日常   #记录吧就现在",0,1.0
uc_00557,第四个电饭煲蛋糕，做的还是有点粗糙,0,1.0
uc_00561,"谁懂我得笑点啊家银们哈哈哈哈

 #我这狗屎般的笑点   #搞笑   #哈哈哈哈",0,1.0
uc_00564,"博主做什么都半途而废只有看bl坚持了一辈子

备忘录一打开。。。书单滑来滑去滑不到底。。。那很爱读书了

 #总裁   #不要   #再看   #bl   #推文把我害惨了",0,1.0
