target_label,target_label_original,target_label_fallback_reason,frame,cue,cue_type,rationale,context_rule,weight_1_3,confidence,source_post_id,source_gold_label,source_content
UP,UP,,self_improvement_or_success,Your MBTI as your job,domain_frame,表达MBTI与职业成功挂钩，暗示个人能力或潜力被认可，呈现积极向上的状态,用于强调个人能力或职业匹配时适用，避免在纯信息或广告中机械使用,3,0.8,uc_00145,UPWARD,Your MBTI as your job! #mbti #MBTI16型人格 #mbti梗图 #intp #intj #infp #infj #entp #enfp #istp
UP,UP,,positive_aspiration,柳暗花明,domain_frame,表达希望和积极转变，体现向上的情感倾向，支持UP标签,用于表达逆境后希望或积极变化时,3,0.8,uc_00289,UPWARD,"亲爱的盆友
人生总是柳暗花明，愿你永远都是春和景明#原相机 #春不许再回头 #素颜 #怼脸拍"
UP,UP,,positive_aspiration,愿你永远都是春和景明,domain_frame,祝愿对方永远幸福美好，传递积极向上的情感，支持UP标签,用于表达祝福和美好未来的场景,3,0.8,uc_00289,UPWARD,"亲爱的盆友
人生总是柳暗花明，愿你永远都是春和景明#原相机 #春不许再回头 #素颜 #怼脸拍"
UP,UP,,personal_success,终于坐上了真正的过山车了,relational_marker,表达了实现期待的喜悦，暗示个人成就感，支持UP标签,描述已达成的目标或期待，强调个人体验的成功,3,0.8,uc_00133,UPWARD,终于坐上了真正的过山车了..#旅行大玩家 #过山车 #环球旅行JK
UP,UP,,income_highlight,总收入$599.8,domain_frame,强调收入金额，表现经济成功，支持UP标签,用于突出收入或资源丰富的场景,3,0.9,uc_00341,UPWARD,"香港大学生兼职送外卖一天真实收入
今天整天一共送了3个小时，早上送了2单，晚上送了11单。总收入$599.8，平均下来每个小时约＄200，收获颇丰的一天 今天收入特别高的原因是因为全部都是近单，而且单价还很高。大家觉得怎么样呢？
#外卖小哥 #香港外卖员 #外卖员 #香港大学生 #香港大学生兼职"
UP,UP,,income_highlight,平均每小时约$200,domain_frame,突出高收入效率，表现成功和资源优势,描述收入效率或高收益时使用,3,0.9,uc_00341,UPWARD,"香港大学生兼职送外卖一天真实收入
今天整天一共送了3个小时，早上送了2单，晚上送了11单。总收入$599.8，平均下来每个小时约＄200，收获颇丰的一天 今天收入特别高的原因是因为全部都是近单，而且单价还很高。大家觉得怎么样呢？
#外卖小哥 #香港外卖员 #外卖员 #香港大学生 #香港大学生兼职"
UP,UP,,positive_evaluation,收获颇丰的一天,neutralizer_frame,表达积极收获，暗示成功和满足感，支持UP标签,用于表达积极成果或满足感时,2,0.8,uc_00341,UPWARD,"香港大学生兼职送外卖一天真实收入
今天整天一共送了3个小时，早上送了2单，晚上送了11单。总收入$599.8，平均下来每个小时约＄200，收获颇丰的一天 今天收入特别高的原因是因为全部都是近单，而且单价还很高。大家觉得怎么样呢？
#外卖小哥 #香港外卖员 #外卖员 #香港大学生 #香港大学生兼职"
UP,UP,,self_improvement,假面妆,domain_frame,假面妆暗示通过化妆隐藏或改善面貌，体现自我提升和变美的意图，符合UP的自我增强框架,在描述化妆或美容手段时使用，不应用于描述负面或被动状态,3,0.9,uc_00156,UPWARD,假面妆
UP,UP,,celebrity_comparison,颜值形象，和剧中毫无差别,relational_marker,直接将偶遇的演员颜值与剧中形象相提并论，强调其出众，支持UP标签,描述演员或人物形象时，强调其与角色一致，体现其优秀或出色,3,0.8,uc_00463,UPWARD,"这张照片是当年大观园游客偶然拍到的沈眉庄
当时游客还不认识斓曦，只知道有剧组在拍戏，偶遇随机拍到的。咱就是说眉姐姐这颜值形象，和剧中毫无差别[害羞R]
 #甄嬛传十级观众 #四大爷审美 #古装美人 #古代大家闺秀 #沈眉庄 #斓曦 #偶遇甄嬛传 #游客视角"
UP,UP,,achievement_or_success,收到港大conditional offer,domain_frame,显示已获得名校offer，代表成功和潜在优势,在描述获得名校offer或成功经验时使用,3,0.8,uc_00449,UPWARD,"港大留学无毕业证
在国内某国际学校，现在已经收到港大conditional offer了，offer里没con我毕业证，但是我后续有可能国际学校不给我批毕业证，会影响换con吗😭😭😭有木有人帮我一下 #留学申请指南 #留学offer #香港 #港大"
UP,UP,,achievement_or_success,港大,domain_frame,提及名校，暗示高资源和成功,提到名校或高端资源时使用,3,0.8,uc_00449,UPWARD,"港大留学无毕业证
在国内某国际学校，现在已经收到港大conditional offer了，offer里没con我毕业证，但是我后续有可能国际学校不给我批毕业证，会影响换con吗😭😭😭有木有人帮我一下 #留学申请指南 #留学offer #香港 #港大"
UP,UP,,social_reward,贵有贵的道理,domain_frame,表达商品的高端和稀缺，暗示拥有它能带来社会认同或优越感，支持UP标签,用于强调商品或体验的价值和稀缺性时使用,3,0.9,uc_00346,UPWARD,"Baccarat 巴卡拉 Hello Kitty玩偶
关注
—
贵有贵的道理
太美了！
#水晶摆件 #kitty 中古 #艺术摆件 #巴卡拉水晶 ＃巴卡拉卢索系列"
UP,UP,,aesthetic_appreciation,太美了！,affect_supporting,表达对物品的美感欣赏，暗示物品带来美的享受，支持UP标签,用于表达对物品外观的喜爱和欣赏时使用,2,0.8,uc_00346,UPWARD,"Baccarat 巴卡拉 Hello Kitty玩偶
关注
—
贵有贵的道理
太美了！
#水晶摆件 #kitty 中古 #艺术摆件 #巴卡拉水晶 ＃巴卡拉卢索系列"
UP,UP,,relative_standing,欢迎水果就这,relational_marker,表达对酒店水果质量的失望，暗示自己对高品质服务的期待，从而凸显自己对更好服务的追求，支持UP标签。,用于表达对某事物不满或期待更好，暗示自己对更优体验的追求时使用。,3,0.7,uc_00431,UPWARD,"避雷避雷
北京瑰丽酒店欢迎水果昨天几个橘子 今天三颗李子 这个价位的酒店欢迎水果就这？？ #北京瑰丽 #酒店欢迎水果"
UP,UP,,self_improvement_motivation,走的每一步都算数,domain_frame,这句话强调每一步都值得，体现积极向上的自我激励和努力，支持UP标签。,在表达个人努力、坚持、逐步实现目标的语境中使用，避免在消极或中立内容中机械套用。,3,0.8,uc_00291,UPWARD,"“走的每一步都算数”
#手绘临摹 #铅笔手绘 #临摹速写 #绘画#临摹"
UP,UP,,high_light_experience,能看出这是谁的腮帮子吗,relational_marker,通过提问引发对某人外貌特征的关注，暗示对方的外貌特征可能是吸引人的亮点，传递一种对美或成功的暗示，符合UP的表达。,在没有明显贬低或负面描述的情况下使用，强调亮点或成功体验。,3,0.9,uc_00162,UPWARD,"哈哈哈哈哈哈
能看出这是谁的腮帮子吗？"
UP,UP,,resource_scarcity,这么少,domain_frame,表达景点游客稀少，突显稀缺感，暗示独特或难得的体验,用于描述稀缺或少见的资源、体验时,3,0.8,uc_00098,UPWARD,"葡萄牙版天空之城，游客居然这么少?
真的有惊艳到!
#葡萄牙"
UP,UP,,awe_inspiring,真的有惊艳到,affect_supporting,表达对景点的惊艳，传递正面评价和高光体验，支持UP标签,用于表达强烈正面情感和赞叹时,2,0.75,uc_00098,UPWARD,"葡萄牙版天空之城，游客居然这么少?
真的有惊艳到!
#葡萄牙"
UP,UP,,personal_success,飞檐合集,domain_frame,展示个人作品，暗示艺术水平和成就感，传达成功和被认可的意味,用于表达个人成就或高光时刻时适用,3,0.8,uc_00304,UPWARD,"最近画的飞檐合集
[举手R]
#钢笔画 #钢笔速写 #建筑手绘 #建筑速写 #2025兴趣不打烊 #国风才是顶级浪漫 #art #风景速写"
UP,UP,,interest and passion,#2025兴趣不打烊,domain_frame,强调持续的兴趣和热情，暗示个人追求和成长，传递积极向上的情绪,用于表达对某领域的热爱和坚持时适用,2,0.75,uc_00304,UPWARD,"最近画的飞檐合集
[举手R]
#钢笔画 #钢笔速写 #建筑手绘 #建筑速写 #2025兴趣不打烊 #国风才是顶级浪漫 #art #风景速写"
UP,UP,,personal_transformation,终于学会了三倍大眼,domain_frame,表达通过努力学习实现了显著的变化，体现自我提升，支持UP标签,用于描述个人技能或外貌的显著改善，强调成就感,3,0.9,uc_00150,UPWARD,终于学会了三倍大眼 #秒变大眼睛 #新手眼妆 #眼睛一大一小
UP,UP,,self_improvement,秒变大眼睛,domain_frame,描述快速实现外貌变化，体现自我改善和成功感，支持UP标签,用于强调快速变化或成功的外貌改善,3,0.9,uc_00150,UPWARD,终于学会了三倍大眼 #秒变大眼睛 #新手眼妆 #眼睛一大一小
UP,UP,,highlights_success,新画的陶吉吉,domain_frame,展示个人才华和创作能力，暗示成功或被认可的状态,用于表达个人成就或被认可时使用,3,0.8,uc_00191,UPWARD,"一人来一句他的歌
新画的陶吉吉[坏笑R][超喜欢R][笑哭了R]
#华语乐坛 #宝藏歌手 #陶喆 #饭绘 #速写人物"
UP,UP,,highlighting_success,一人来一句他的歌,domain_frame,鼓励展示个人才艺，暗示自信和成功感,用于表达自我展示或成功的场景,3,0.8,uc_00191,UPWARD,"一人来一句他的歌
新画的陶吉吉[坏笑R][超喜欢R][笑哭了R]
#华语乐坛 #宝藏歌手 #陶喆 #饭绘 #速写人物"
UP,UP,,life_energy,磅礴的、静谧的生命力,domain_frame,描述生命力的强大与静谧，传达一种内在的生命力之美，支持帖子呈现积极向上的生命状态,用于强调生命力的强大或美好时，不应用于描述负面或低能动性的场景,3,0.8,uc_00281,UPWARD,"“磅礴的、静谧的生命力”
一定要热烈张扬吗
静谧的生命力也很打动我
出镜@芹菜发儿
#来拍照了 #氛围感 #生命力 #地铁站拍照 #生命力溢出镜头啦#宝贝的灵感大夏"
