target_label,frame,cue,cue_type,source_basis,rationale,weight_1_3,context_rule,count_UP,count_DOWN,count_NEUTRAL,empirical_label,empirical_share
AMBIGUOUS,comparison_marker:self_other_relation,emo了,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,1,4,2,DOWN,0.571
AMBIGUOUS,comparison_marker:self_other_relation,不如,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,59,79,39,DOWN,0.446
AMBIGUOUS,comparison_marker:self_other_relation,人家都,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,4,3,0,UP,0.571
AMBIGUOUS,comparison_marker:self_other_relation,凭什么,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,4,8,4,DOWN,0.5
AMBIGUOUS,comparison_marker:self_other_relation,别人都,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,7,9,0,DOWN,0.562
AMBIGUOUS,comparison_marker:self_other_relation,卷不过,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,1,1,0,DOWN,0.5
AMBIGUOUS,comparison_marker:self_other_relation,只有我,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,20,43,12,DOWN,0.573
AMBIGUOUS,comparison_marker:self_other_relation,同龄人,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,4,6,4,DOWN,0.429
AMBIGUOUS,comparison_marker:self_other_relation,和别人比,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,0,2,0,DOWN,1.0
AMBIGUOUS,comparison_marker:self_other_relation,和同龄人比,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,0,0,0,,
AMBIGUOUS,comparison_marker:self_other_relation,大家都,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,70,97,70,DOWN,0.409
AMBIGUOUS,comparison_marker:self_other_relation,天花板,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,34,15,21,UP,0.486
AMBIGUOUS,comparison_marker:self_other_relation,嫉妒,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,9,14,6,DOWN,0.483
AMBIGUOUS,comparison_marker:self_other_relation,就我,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,9,19,1,DOWN,0.655
AMBIGUOUS,comparison_marker:self_other_relation,差距,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,14,13,11,UP,0.368
AMBIGUOUS,comparison_marker:self_other_relation,我却,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,19,25,3,DOWN,0.532
AMBIGUOUS,comparison_marker:self_other_relation,我还在,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,15,22,5,DOWN,0.524
AMBIGUOUS,comparison_marker:self_other_relation,比别人,relational_marker,INCOM+XHS,显式或半显式把 self 与 other 放进同一比较关系，是 xhs-score 里最容易被 LLM 漏掉的关系性线索。,3,先识别比较关系，再结合 poster advantaged/disadvantaged frame 判定方向。,1,3,2,DOWN,0.5
