target_label,frame,cue,cue_type,source_basis,rationale,weight_1_3,context_rule,count_UP,count_DOWN,count_NEUTRAL,empirical_label,empirical_share,llm_docfreq,mean_confidence,example_post_ids
DOWN,perceived_resource_limitation,春日限定美哭😭,affect_supporting,LLM_train_extraction+XHS,表达对春日限定的美景感到感动或遗憾，暗示资源有限或错过的情感，符合DOWNWARD的资源受限感受,3,用于表达对美景或机会的感叹，暗示资源或时间的有限性,0,2,0,DOWN,1.0,2,0.9,dc_00046|dc_00116
DOWN,powerlessness_or_control,为你的毛公仔留座,relational_marker|relative_standing,LLM_train_extraction+XHS,强调“为毛公仔留座”暗示帖主在被动配合迪士尼的安排，表现出被动和受控的状态,3,当描述自己被动接受安排或缺乏自主时使用,0,2,0,DOWN,1.0,2,0.8,dc_00022|dc_00092
DOWN,powerlessness_or_control,当老板要求,relational_marker|relative_standing,LLM_train_extraction+XHS,表现出被上级指示、缺乏自主选择，暗示低能动性和被控制,3,用于描述被动接受指令或缺乏自主权的场景,0,2,0,DOWN,1.0,2,0.8,dc_00060|dc_00130
DOWN,self_deprecation_or_inferiority,每次都被朋友拍的又矮，又过爆,relational_marker,LLM_train_extraction+XHS,表达自己在朋友面前身高矮，暗示自我形象不佳，体现自我贬低，支持DOWNWARD标签,3,描述自己被拍照时的状态，强调身高或形象的不足,0,2,0,DOWN,1.0,2,0.85,dc_00068|dc_00138
DOWN,social_control_and_discrimination,感觉hk对于 穿着的包容性真的挺低的,relational_marker,LLM_train_extraction+XHS,表达对香港社会对穿着的限制和不包容的感受，反映被边缘化或受控的状态,3,用于表达社会环境对个人穿着的限制或偏见时,0,2,0,DOWN,1.0,2,0.8,dc_00005|dc_00075
UP,self_improvement_or_success,新手化妆技巧,domain_frame,LLM_train_extraction+XHS,强调学习新技能，体现个人成长和成功感，支持UP标签,3,用于描述技能学习或提升，避免用于纯信息或广告内容,2,0,0,UP,1.0,2,0.8,uc_00155|uc_00153
DOWN,achievement_difficulty,终于站在富士山顶上了,relational_marker,LLM_train_extraction+XHS,表达达成登顶目标的过程，暗示之前的困难或挑战，体现努力后仍有未达成的成就感，符合DOWNWARD的表现,3,用于描述达成目标但强调过程中的困难或挑战时使用,0,1,0,DOWN,1.0,1,0.7,dc_00012
DOWN,achievement_struggle,终于站在富士山顶上了,relational_marker,LLM_train_extraction+XHS,表达经过努力终于达到高峰，暗示之前存在困难或努力，符合DOWNward表现出努力后仍有挑战或未达预期的情感,3,在描述成功或高峰时，若强调“终于”或“经过努力”，可能暗示之前的困难或未达预期,0,1,0,DOWN,1.0,1,0.8,dc_00082
DOWN,being_overshadowed_or_less,朋友拿出了ccd,relational_marker,LLM_train_extraction+XHS,暗示自己在拍照设备或技术上被朋友超越，表现出被动和劣势,2,描述他人优于自己时使用，强调差距,0,1,0,DOWN,1.0,1,0.8,dc_00071
DOWN,city_in_harbor,城市中的浪漫打卡地,neutralizer_frame,LLM_train_extraction+XHS,虽然表面描述浪漫，但结合“误入”暗示体验可能是虚假的或受限制的，支持DOWN的解读。,2,描述城市景点时，若暗示虚假或受限，应考虑DOWN,0,1,0,DOWN,1.0,1,0.7,dc_00081
DOWN,city_in_harbor,误入了莫奈的花园,relational_marker|relative_standing,LLM_train_extraction+XHS,暗示在城市中体验到的浪漫是虚幻或被误导，带有被困或受限的意味，符合DOWN标签的冲突或受限感。,3,描述城市环境中的体验，强调虚幻或误入困境时不应机械使用,0,1,0,DOWN,1.0,1,0.9,dc_00081
DOWN,city_life_difficulty,城市中的浪漫打卡地,neutralizer_frame,LLM_train_extraction+XHS,虽然提到浪漫，但结合“误入”暗示可能存在被困或迷失的情境，偏向描述城市生活的困境或限制,2,在描述城市景点时，若伴随迷失或困境暗示，则倾向DOWN,0,1,0,DOWN,1.0,1,0.6,dc_00011
DOWN,city_life_difficulty,误入了莫奈的花园,relational_marker,LLM_train_extraction+XHS,暗示城市中存在迷失或误入困境，带有被动或受限的意味，支持DOWN标签,3,描述城市景点时，强调迷失或困境的场景不适用于UP或NEUTRAL,0,1,0,DOWN,1.0,1,0.7,dc_00011
DOWN,comparison_with_better,不是永利皇宫哈！！,relational_marker|relative_standing,LLM_train_extraction+XHS,暗示自己没有达到更高端的体验或资源，存在一定的自我贬低或比较,2,当用“不是……哈”表达自己不及某个更好的对象时使用,0,1,0,DOWN,1.0,1,0.8,dc_00045
DOWN,conflict_or_control,只能撸猫,relational_marker,LLM_train_extraction+XHS,表现体验中的被动选择，暗示受限或无能动性,3,描述体验受限或被动的场景,0,1,0,DOWN,1.0,1,0.8,dc_00069
DOWN,conflict_or_control,吵吵吵吵死了,affect_supporting,LLM_train_extraction+XHS,表达对噪音的厌烦和冲突感，暗示自己处于被干扰或受控状态,3,用于表达强烈不满或冲突时，强调噪音或干扰,0,1,0,DOWN,1.0,1,0.8,dc_00141
DOWN,conflict_or_control,太离谱了 真的太吵太吵太吵了,affect_supporting,LLM_train_extraction+XHS,反复强调噪音过大，表现出极度不满和受控感，强化DOWN标签,3,用于表达极端不满和冲突情绪，强调环境的负面影响,0,1,0,DOWN,1.0,1,0.8,dc_00141
DOWN,conflict_or_control,我真是不懂了 就算你要讨论有必要全程这么大声吗,relational_marker,LLM_train_extraction+XHS,质疑对方行为，表现出被动受控或不满，暗示自己处于劣势或受限制,3,用于表达对他人行为的不理解或不满，强调自己处于被动或受控状态,0,1,0,DOWN,1.0,1,0.8,dc_00141
DOWN,conflict_or_control,梨形身材遮胯绝了,relational_marker|relative_standing,LLM_train_extraction+XHS,暗示身材缺陷被掩盖，体现被动应对身材问题，带有自我贬低或被动控制的意味。,3,用于强调遮掩缺陷或被动应对身材/外貌问题时，不能用来表达自信或优势。,0,1,0,DOWN,1.0,1,0.8,dc_00054
DOWN,conflict_or_control,用牛仔打破西装严肃感,relational_marker|relative_standing,LLM_train_extraction+XHS,暗示牛仔外套作为打破严肃的工具，可能暗示穿搭是为了掩盖或缓解正式场合的压力，带有被动或受控的意味。,2,用于描述打破束缚或压力的场景，不能用来表达主动自信或优势。,0,1,0,DOWN,1.0,1,0.75,dc_00054
DOWN,conflict_or_control,画室满了,relational_marker,LLM_train_extraction+XHS,表现体验受限，暗示被动或受控状态,3,用于描述体验中存在的限制或冲突场景,0,1,0,DOWN,1.0,1,0.8,dc_00069
DOWN,emotional_distress_or_inability,很难过,affect_supporting,LLM_train_extraction+XHS,表达情绪低落，暗示心理困境或无助，支持DOWN标签,2,用于表达情绪时，需结合其他家庭或控制相关内容，单独用情绪词不充分,0,1,0,DOWN,1.0,1,0.7,dc_00143
DOWN,family_burden_or_unfairness,替自己难过，替母亲觉得不值,relational_marker,LLM_train_extraction+XHS,体现家庭责任感和不公平感，暗示家庭压力或牺牲，支持DOWN标签,3,描述家庭牺牲或不公时使用，不能用于单纯表达个人情绪,0,1,0,DOWN,1.0,1,0.8,dc_00143
DOWN,family_conflict,听见妈妈在小声和爸爸说我怎么怎么不好,relational_marker,LLM_train_extraction+XHS,直接描述家庭成员之间的负面议论，体现被批评或被忽视的状态，支持DOWN标签,3,当描述家庭成员私下议论或批评自己时使用,0,1,0,DOWN,1.0,1,0.8,dc_00146
DOWN,family_conflict,听见爸妈在外面议论我,relational_marker,LLM_train_extraction+XHS,表达被家庭成员议论，暗示自己处于被动或受限状态，支持DOWN标签,3,描述家庭成员私下议论或批评自己时使用,0,1,0,DOWN,1.0,1,0.8,dc_00146
DOWN,family_conflict,我说那你刷那么频繁的牙干啥,relational_marker,LLM_train_extraction+XHS,这句话表现出对女儿行为的批评和冲突，暗示家庭关系紧张，支持DOWNWARD标签,3,用于表达家庭成员间的责备或冲突时使用,0,1,0,DOWN,1.0,1,0.8,dc_00147
DOWN,family_conflict,结果不知道怎么招惹她了，一下子就摔门出去了,relational_marker,LLM_train_extraction+XHS,描述女儿情绪激烈反应，体现家庭关系紧张和冲突，支持DOWNWARD标签,3,描述家庭成员情绪激烈反应时使用,0,1,0,DOWN,1.0,1,0.8,dc_00147
DOWN,family_conflict_or_control,不想待在家,relational_marker,LLM_train_extraction+XHS,表达对家庭环境的不满和逃避，体现被家庭束缚或不自由，支持DOWN标签,3,描述家庭环境或情感状态时使用，不能用于单纯描述地点或普通情绪,0,1,0,DOWN,1.0,1,0.8,dc_00143
DOWN,hidden_resources_or_limited_opportunities,我家后院,relational_marker,LLM_train_extraction+XHS,用‘我家后院’暗示其实没有外出，表现出资源或机会的受限，支持DOWN标签,2,当描述地点或资源时，若暗示有限或受控，应考虑此cue,0,1,0,DOWN,1.0,1,0.8,dc_00085
DOWN,implying_control_or_limit,想要一秒穿越到欧洲童话世界吗,relational_marker,LLM_train_extraction+XHS,表达对童话世界的渴望，暗示现实中存在限制或不自由，带有被动向往的意味，符合DOWN标签的被动受控感,3,用于表达对理想或幻想的渴望，但实际暗示现实中的限制或缺失,0,1,0,DOWN,1.0,1,0.7,dc_00004
DOWN,implying_control_or_limit,绝对是你 的不二之选,social_reward,LLM_train_extraction+XHS,强调“绝对是你”的选择，暗示其他选择或现实中存在限制，强化被动接受的感觉，体现被控制或受限的状态,2,用于推荐或宣传时，暗示受众没有自主选择的空间或被动接受,0,1,0,DOWN,1.0,1,0.6,dc_00004
DOWN,implying低能动性或受控状态,朋友以为我去了意大利,relational_marker,LLM_train_extraction+XHS,暗示帖主没有实际出国，反映出被动或受控的状态，支持DOWN标签,2,当用他人误会或假象暗示实际受限时，应考虑此cue,0,1,0,DOWN,1.0,1,0.75,dc_00085
DOWN,lack_of_control_or_limitations,用小作文的方式去拍照,neutralizer_frame,LLM_train_extraction+XHS,暗示用简单、随意的方式拍照，可能反映出对拍照技巧的限制或缺乏掌控感，符合DOWN的被动或受限状态,2,描述拍照方式时，强调随意或缺乏专业感,0,1,0,DOWN,1.0,1,0.75,dc_00096
DOWN,lack_of_resources_or_ability,执着于用手机拍照,relational_marker,LLM_train_extraction+XHS,表现出自己在拍照技术或设备上的局限，暗示自己不如朋友，体现被动或受限的状态,2,当描述自己在某方面的努力或局限时使用，不应用于表达积极成就,0,1,0,DOWN,1.0,1,0.8,dc_00071
DOWN,lack_of_resources_or_control,不用去太平山顶,relational_marker,LLM_train_extraction+XHS,暗示没有更高端或更优质的体验（如太平山顶），表现出资源或体验的受限,2,当用“也可以”或“不用去”表达替代方案，暗示缺乏更好选择,0,1,0,DOWN,1.0,1,0.75,dc_00020
DOWN,lack_of_resources_or_control,免费全景观光电梯,domain_frame,LLM_train_extraction+XHS,强调免费资源，暗示资源有限或依赖低成本方案，体现被动或受限状态,2,当描述资源或体验为免费或低成本，暗示缺乏更高端选择时使用,0,1,0,DOWN,1.0,1,0.7,dc_00020
DOWN,life_control_loss,出片率满满,relational_marker,LLM_train_extraction+XHS,强调展览的照片效果，暗示观众被动接受展览的视觉冲击，缺乏对内容的深度参与，体现低能动性,3,仅在强调拍照效果或被动体验时使用，不能机械化理解为负面,0,1,0,DOWN,1.0,1,0.7,dc_00025
DOWN,life_control_loss,我宣布，这是近期最震撼的展,relational_marker,LLM_train_extraction+XHS,用“我宣布”强调个人主观评价，暗示被动接受展览的“震撼”，缺乏主动探索或深度参与，体现被动或受控状态,2,仅在表达个人主观评价且强调“震撼”时使用，避免机械化理解,0,1,0,DOWN,1.0,1,0.6,dc_00025
DOWN,limited_resources_or_control,场地F收30r,relational_marker,LLM_train_extraction+XHS,提及场地收费，暗示资源受限或被控制，体现出不自由或受限制的状态,3,用于描述资源、限制或控制的场景，不应用于纯美景或旅游推荐,0,1,0,DOWN,1.0,1,0.7,dc_00094
DOWN,limited_resources_or_control,需要做好物理防晒，选择舒适的鞋,neutralizer_frame,LLM_train_extraction+XHS,强调防晒和舒适鞋，暗示环境可能不理想或存在不便，体现出一定的限制或不便,2,用于描述环境或条件，非纯美景或正面体验,0,1,0,DOWN,1.0,1,0.6,dc_00094
DOWN,location_comparison,不在东京🇯🇵在深圳,relational_marker|relative_standing,LLM_train_extraction+XHS,明确地点对比，暗示自己没有东京的国际感或更优资源，表现出一种被限制或较低的状态,2,强调自己没有达到更高层次或更优环境时使用,0,1,0,DOWN,1.0,1,0.75,dc_00042
DOWN,location_control,仿佛是从童话书中走出来的梦幻小镇,relational_marker,LLM_train_extraction+XHS,描述环境如童话，暗示游客被动接受环境，缺乏主动性，体现被动感,3,用于描述环境或场景，强调梦幻氛围而非个人主动体验,0,1,0,DOWN,1.0,1,0.9,dc_00074
DOWN,negative_experience_or_disappointment,小玩意儿的品类不是很多,relational_marker,LLM_train_extraction+XHS,表达对店铺商品有限的失望，暗示资源或体验受限，支持DOWN标签,2,用于描述对体验或资源的负面评价时使用,0,1,0,DOWN,1.0,1,0.7,dc_00139
DOWN,negative_experience_or_disappointment,画室满了，只能撸猫,relational_marker,LLM_train_extraction+XHS,描述画室满员导致体验受限，体现被动或受限制的状态，支持DOWN标签,2,描述体验受阻或被动状态时使用,0,1,0,DOWN,1.0,1,0.75,dc_00139
