error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照技,26,9,0.039,0.0012,0.7429,3.5071,20.8598,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照技巧,26,9,0.039,0.0012,0.7429,3.5071,20.8598,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照技,26,9,0.039,0.0012,0.7429,3.5071,20.8598,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,照技巧,26,9,0.039,0.0012,0.7429,3.5071,20.8598,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,圳拍,20,6,0.03,0.0008,0.7692,3.6209,19.3365,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,圳拍照,20,6,0.03,0.0008,0.7692,3.6209,19.3365,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,深圳拍,20,6,0.03,0.0008,0.7692,3.6209,19.3365,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,深圳拍照,20,6,0.03,0.0008,0.7692,3.6209,19.3365,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,@生活薯@走,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,@生活薯@走走,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,@生活薯@走走薯,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,免费拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,力的照片拍,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,力的照片拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照圣地，,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照技巧拍,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照技巧拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照构,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,拍照构图,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,旅游打,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,旅游打卡,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,旅行香港拍,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,旅行香港拍照,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,活薯@走,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
down_to_up,direction flip,extract others-better/I-worse and failed-aspiration cues that look positive locally,活薯@走走,7,0,0.0105,0.0,1.0,5.1612,18.9468,DOWN,blocked_aspiration_failure,contextual_frame,treat local positive words as contrast if overall story is poster worse-off
