term,feature_type,suggested_target,count_UP,count_NEUTRAL,count_DOWN,total_docfreq,purity,coverage,ambiguity,ambiguity_label,log_odds_z_UP,chi2_UP,mi_UP,log_odds_z_NEUTRAL,chi2_NEUTRAL,mi_NEUTRAL,log_odds_z_DOWN,chi2_DOWN,mi_DOWN,max_abs_log_odds_z,max_chi2,max_mi,suggested_bucket,context_rule_hint,l1_coef_UP,l1_coef_NEUTRAL,l1_coef_DOWN,l1_available
什么,char,DOWN,371,431,673,1475,0.4563,673,431,NEUTRAL,-8.6201,53.8177,0.003353,4.1943,12.8805,0.000786,4.85,119.0357,0.006883,8.6201,119.0357,0.006883,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.310897,0.212443,-0.029429,True
，我,char,DOWN,372,266,665,1303,0.5104,665,372,UP,-5.6105,15.8265,0.00097,-3.4307,114.0439,0.007333,8.4878,214.1241,0.012233,8.4878,214.1241,0.012233,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.210802,-0.181004,0.249825,True
知道,char,DOWN,183,202,433,818,0.5293,433,202,NEUTRAL,-7.9962,48.942,0.003121,0.1213,29.6733,0.001862,7.8,154.3903,0.008744,7.9962,154.3903,0.008744,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.368167,0.040694,0.0,True
怎么,char,DOWN,215,220,479,914,0.5241,479,220,NEUTRAL,-7.7677,44.3563,0.002804,-0.3106,38.6875,0.002436,7.9306,165.4079,0.009386,7.9306,165.4079,0.009386,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.056205,0.04092,True
了，,char,DOWN,418,360,757,1535,0.4932,757,418,UP,-7.1456,31.4038,0.001934,-0.9647,80.7982,0.00508,7.8659,212.2768,0.012197,7.8659,212.2768,0.012197,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,-0.200475,0.126575,True
了。,char,DOWN,143,125,319,587,0.5434,319,143,UP,-5.821,22.817,0.001438,-1.8094,40.438,0.002604,7.278,123.6252,0.006969,7.278,123.6252,0.006969,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.164965,0.0,0.130172,True
现在,char,DOWN,247,149,425,821,0.5177,425,247,UP,-3.5478,4.2922,0.000261,-4.213,93.1697,0.006137,7.1525,136.9784,0.007773,7.1525,136.9784,0.007773,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.17962,-0.2493,0.0,True
吗？,char,DOWN,114,146,256,516,0.4961,256,146,NEUTRAL,-6.4741,31.211,0.002,1.9943,5.9995,0.000369,4.6946,64.4077,0.00366,6.4741,64.4077,0.00366,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.192606,0.059009,0.081477,True
为什,char,DOWN,96,113,233,442,0.5271,233,113,NEUTRAL,-6.1445,28.2761,0.001818,0.5149,12.3068,0.00077,5.6424,77.6742,0.004384,6.1445,77.6742,0.004384,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.000648,-0.046832,0.228814,True
为什么,char,DOWN,96,113,233,442,0.5271,233,113,NEUTRAL,-6.1445,28.2761,0.001818,0.5149,12.3068,0.00077,5.6424,77.6742,0.004384,6.1445,77.6742,0.004384,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,-0.11136,-0.041132,0.0851,True
