id,content,gt,predicted
dc_00001,"当我执着于用手机拍照时,朋友拿出了ccd... #今天玩ccd了吗 #新年旅行第一站 #香港旅行 #香港拍照 #ccd #拍照技巧 #来拍 照了",2,0.0
dc_00004,"想要一秒穿越到欧洲童话世界吗?深圳的梅拉尼亚小镇绝对是你 的不二之选!这里仿佛是从童话书中走出来的梦幻小镇,每一个角落 都散发着浓浓的艺术气息,简直是拍照打卡的天堂",2,0.0
dc_00006,教大家如何拍出生命感照片!很简单! 这是我平时的干货技巧!希望对大家有用!!#拍照 #干货 #拍出生命力 #充满生命力的照片 #拍照动作 #拍照技巧 #照在你动起来之后,2,0.0
dc_00007,"五个万能构图技巧显高显瘦倍儿上镜!!每次拍照,都显矮又臃肿!?不是你不好看,是你朋友没拍好!分享五个万能构图技巧让你立马出大片!显高显腿长#2024时髦存档 #男生穿搭 #拍摄技巧 #构图技巧 #来拍照了 #拍照 f#拍照姿势#拍照技巧 #显高 #osoce斯哲",2,0.0
dc_00010,"一周穿搭不重样｜早春9个随性look🧾
来了来了
新鲜出炉的一周穿搭
之前都发过啦
#一周穿搭不重样 #穿搭合集 #春季穿搭 #小个子穿搭 #Ootd",2,0.0
dc_00011,"🇭🇰香港这里太美了。。。
#香港 #大城市里的小浪漫 #不敢想象在这里拍照有多绝 #误入了莫奈的花园 #城市中的浪漫打卡地",2,0.0
dc_00012,终于站在富士山顶上了,2,0.0
dc_00015,"朋友以为我去了意大利，其实拍摄地就在……
我家后院！
	
#这里拍照很出片 #小众拍摄地 #精致的朋友圈毛胚的人生 #色彩搭配 #氛围感 #法式氛围感 #法式穿搭 #置景",2,0.0
dc_00017,"🆘😭快救救孩子选哪张参加港大摄影比赛
港大研会的摄影比赛，今晚就截止了我还没有选好交哪张万能的小红薯们快帮我选选吧
主题是“鏡頭下的香港：我與這座城的故事”，要求是“記錄香港的璀璨夜景、古典建築、山海風光及市井百態…描繪出你眼中最真實、最生動的香港印象。”
📷我感觉扫街和风光的照片都可以投，但是哪张好呢，包听劝的，救救孩子吧，选择困难症，选哪张呢
📷我是选风光还是人文扫街呢，还是说选有纪念意义的？很多图之前发上来过，图678在xhs上大家好像都还比较喜欢，图16是xhs上火了的一些图，图17是香港国庆的烟花...
摄影 | 旅行 | 拍照 | 打卡 | 爬楼
小众 | 建筑 | 后期 | 风光 | 机位
人像 | 调色 | 修图 | 人文 | 扫街
---
听劝，最后选了评论区里的图0
---
出结果了，图0没有入围最后投票环节，是不是我应该选张其他的🤷🏻‍♂️
#香港大学 #港大 #hku #摄影比赛 #手机摄影 #港大研会 #香港摄影 #大学生摄影 #摄影作品欣赏 #摄影审美",2,0.0
dc_00019,深圳拍照圣地，免费打卡土耳其热气球，出	片率100%!OAO时尚街区拍照太好看了，约上闺蜜周末去打卡真不错,2,0.0
