target_label,target_label_original,target_label_fallback_reason,frame,cue,cue_type,rationale,context_rule,weight_1_3,confidence,source_post_id,source_gold_label,source_content
UP,relational_marker,invalid_target_label:relational_marker,relational_marker,能染这种头发颜色的机会也不多,relational_marker,这句话暗示染发是难得的体验，强调个人的特殊性和成功感，支持UPWARD标签,用于表达个人或他人难得的成功或特殊体验时适用,3,0.8,uc_00012,UPWARD,"女儿初三毕业时染的蓝发
小时候还是甜美乖乖女，初中就开始走炫酷高冷中二风。
去年中考完后暑假染了蓝发，漂了好几次，历经十来个小时，只留了一个多月，军训前又按学校要求染回黑色了。
就当特别体验了，毕竟以后工作了，能染这种头发颜色的机会也不多。
这里几个小提醒:①比较适合皮肤白的（没有说我女儿白的意思）；②漂染几次比较伤头发；③后续染回黑色有的地方慢慢退成红棕色不太均匀。
#蓝发 #发型 #女儿"
UP,UPWARD,,achievement_and_self_expression,我狂喜出片了,relational_marker,表现出在恶劣天气中依然成功拍照，彰显个人能力和热情，支持UP的立场,描述自己在逆境中依然取得成功时使用,3,0.8,uc_00089,UPWARD,"迪士尼下雨天别的摄影师恐惧而我狂喜出片了
没有什么可以阻挡我在迪士尼出片的决心，下大暴雨也不行。
#迪士尼拍照 #迪士尼 #迪士尼在逃公主 #迪士尼攻略 #迪士尼跟拍 #永远童心的迪斯尼乐园"
UP,UPWARD,,achievement_and_self_expression,没有什么可以阻挡我在迪士尼出片的决心,relational_marker,强调个人决心和能力，表现出积极主动和自信，支持UP的立场,表达强烈的自我驱动力和成功意愿时使用,3,0.8,uc_00089,UPWARD,"迪士尼下雨天别的摄影师恐惧而我狂喜出片了
没有什么可以阻挡我在迪士尼出片的决心，下大暴雨也不行。
#迪士尼拍照 #迪士尼 #迪士尼在逃公主 #迪士尼攻略 #迪士尼跟拍 #永远童心的迪斯尼乐园"
UP,UPWARD,,achievement_and_success,终于上岸了,relational_marker,表达成功实现目标，呈现个人成就感，支持UP标签,用于描述达成某个目标或成功的场景，不应用于表达挫败或失败,3,0.9,uc_00045,UPWARD,"终于上岸了
100万终于中了
明天带上身份证去广州领奖"
UP,UPWARD,,achievement_and_success,100万终于中了,relational_marker,展示中奖获得巨额奖金，强调成功和幸运，支持UP标签,用于描述中奖、获得奖励等正面成就场景,3,0.9,uc_00045,UPWARD,"终于上岸了
100万终于中了
明天带上身份证去广州领奖"
UP,UPWARD,,achievement_and_success,明天带上身份证去广州领奖,relational_marker,暗示即将实现领奖的成功，体现未来的正面成就感,描述即将完成某个成功事件，不应用于负面或中性场景,2,0.8,uc_00045,UPWARD,"终于上岸了
100万终于中了
明天带上身份证去广州领奖"
UP,UPWARD,,travel_experience_positive,无敌攻略,domain_frame,‘无敌攻略’暗示威海旅游资源丰富、体验优越，传达对未来旅游的期待和向往，支持UP标签,用于描述旅游攻略或资源时，表达对未来旅游体验的期待,3,0.8,uc_00078,UPWARD,总有一天要来威海吧!威海的无敌攻略#游玩攻略
UP,UPWARD,,future_aspiration,总有一天要来威海,relational_marker,表达未来计划，暗示对威海的向往和期待，体现积极向上的旅游愿望，支持UP标签,用于表达未来计划或愿望时，传递积极期待,3,0.8,uc_00078,UPWARD,总有一天要来威海吧!威海的无敌攻略#游玩攻略
UP,UPWARD,,self_improvement,提升英语,relational_marker,强调通过努力提升英语水平，体现积极向上的自我提升心态,用于表达个人成长或技能提升的场景,3,0.9,uc_00031,UPWARD,"07国际女高雅思8.0｜两周备考经验分享✏️
今天不聊穿搭了聊聊雅思[doge]
其实核心还是提升英语[拥抱R]
但是掌握技巧可以锦上添花！
希望对大家有帮助！
 #国际学校 #考雅经历 #雅思写作 #雅思备考 #雅思攻略 #雅思考试 #雅思听力 #雅思 #雅思打卡 #英语"
UP,UPWARD,,achievement,两周备考经验分享,relational_marker,分享备考经验暗示成功准备，传递积极达成目标的信号,用于展示个人努力和成功经验,3,0.9,uc_00031,UPWARD,"07国际女高雅思8.0｜两周备考经验分享✏️
今天不聊穿搭了聊聊雅思[doge]
其实核心还是提升英语[拥抱R]
但是掌握技巧可以锦上添花！
希望对大家有帮助！
 #国际学校 #考雅经历 #雅思写作 #雅思备考 #雅思攻略 #雅思考试 #雅思听力 #雅思 #雅思打卡 #英语"
