target_label,frame,cue,cue_type,source_basis,rationale,weight_1_3,context_rule,count_UP,count_DOWN,count_NEUTRAL,empirical_label,empirical_share,llm_docfreq,mean_confidence,example_post_ids
DOWN,lack_of_support,家一点也成为不了避风的港湾,relational_marker,LLM_train_extraction+XHS,表达家庭无法提供情感支持，暗示家庭环境令人失望，支持DOWN标签,3,当描述家庭无法提供避风港或支持时使用,0,6,0,DOWN,1.0,6,0.8,dc_00561|dc_01012|dc_01706|dc_02196|dc_01986
DOWN,social_discrimination,把你当异类上下打量,relational_marker,LLM_train_extraction+XHS,描述他人对帖主的歧视性行为，支持帖主感受到的排斥和不公平,3,当描述他人对自己负面评价或排斥行为时使用,0,4,0,DOWN,1.0,4,0.8,dc_00075|dc_00005|dc_03679|dc_03749
NEUTRAL,information_sharing,本人全程be like: so hot 🥵,domain_frame,LLM_train_extraction+XHS,表达个人感受，没有涉及对比或价值判断，属于信息或情感表达,3,仅描述个人感受或事实，不涉及相对立场或价值判断,0,0,4,NEUTRAL,1.0,4,0.8,nc_00632|nc_01724|nc_02284|nc_04352
NEUTRAL,neutral_information,不要再流行黄油年糕这种高热量美食了,domain_frame,LLM_train_extraction+XHS,这是对一种美食的描述，属于信息传递，没有明显的相对立场偏向,3,用于描述或推荐某类食物或事物时，不涉及立场偏向,0,0,4,NEUTRAL,1.0,4,0.85,nc_00631|nc_01091|nc_01021|nc_04351
UP,personal_success,人生照片,domain_frame,LLM_train_extraction+XHS,强调个人成就和难得的美好瞬间，体现自我价值和成功感,3,用于描述个人重要的成就或难忘的体验时,4,0,0,UP,1.0,4,0.825,uc_00126|uc_00193|uc_03846|uc_03848
DOWN,conflict_or_danger,楼下大门坏了,domain_frame,LLM_train_extraction+XHS,描述环境存在安全隐患，暗示受限或危险状态，支持DOWN标签,3,当描述门锁、门坏、被破坏等情况时使用,0,3,0,DOWN,1.0,3,0.8,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,楼道里的防火门总是被开着,domain_frame,LLM_train_extraction+XHS,反复被开，暗示潜在的安全隐患或冲突，支持DOWN标签,3,描述门经常被开或无法关闭时使用,0,3,0,DOWN,1.0,3,0.733,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,老太太家大门长达10天微微开着,domain_frame,LLM_train_extraction+XHS,暗示老太太可能失踪或受困，体现受限或危险，支持DOWN标签,3,描述门长时间微开或无人应答时使用,0,3,0,DOWN,1.0,3,0.8,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,老太太家有破坏痕迹,domain_frame,LLM_train_extraction+XHS,描述财产被破坏，暗示潜在的冲突或受害，支持DOWN标签,3,描述财物损坏或被破坏时使用,0,3,0,DOWN,1.0,3,0.783,dc_00256|dc_00166|dc_00266
DOWN,conflict_or_danger,警察怀疑老太太跳楼,domain_frame,LLM_train_extraction+XHS,直接暗示生命危险或极端受限状态，支持DOWN标签,3,描述警方或官方怀疑自杀或受害时使用,0,3,0,DOWN,1.0,3,0.867,dc_00256|dc_00166|dc_00266
DOWN,family_conflict,原生家庭的无奈,domain_frame,LLM_train_extraction+XHS,表达家庭关系中的无奈和冲突，暗示自己在家庭中处于被动或受限状态，支持DOWN标签。,3,描述家庭关系时，强调无奈、冲突或受限的情感，避免用积极或中立的词汇。,0,3,0,DOWN,1.0,3,0.8,dc_01012|dc_02196|dc_01986
DOWN,financial_difficulty,买不起房,domain_frame,LLM_train_extraction+XHS,直接表达经济压力和生活困境，体现帖主的无助感，支持DOWN标签,3,用于描述经济或生活上的限制和困境时使用,0,3,0,DOWN,1.0,3,0.8,dc_01011|dc_01635|dc_02195
DOWN,health_concern,对身体不好,domain_frame,LLM_train_extraction+XHS,强调健康受影响，暗示自己处于不利位置，体现被动和受限,2,当提及健康问题，表达无奈或受限制时使用,0,3,0,DOWN,1.0,3,0.7,dc_02274|dc_03284|dc_04263
DOWN,life_difficulty,我对这样的生活感到绝望,affect_supporting,LLM_train_extraction+XHS,直接表达绝望情绪，强化DOWN标签,3,用于表达强烈负面情绪和生活困境时,0,3,0,DOWN,1.0,3,0.833,dc_03306|dc_03360|dc_04339
DOWN,loss_of_virtues,把人最珍贵的东西夺走了,domain_frame,LLM_train_extraction+XHS,直接表达上班剥夺了个人宝贵品质，体现被剥夺、受限的负面感受，支持DOWN标签,3,用于表达个人价值被剥夺或损失的场景，不应用于中性描述或正面叙述,0,3,0,DOWN,1.0,3,0.8,dc_02301|dc_02654|dc_04290
DOWN,relative_standing,养不胖,relational_marker,LLM_train_extraction+XHS,表达自己养的猫不如别人，暗示自己处于劣势或受限制,3,用于表达自己在某方面比别人差或受限制的情境,0,3,0,DOWN,1.0,3,0.8,dc_03013|dc_03992|dc_03992
DOWN,self_control_difficulty,控制不住,relational_marker,LLM_train_extraction+XHS,直接表达自己难以控制欲望，体现出被动和受限的状态，支持DOWN标签,3,当描述自己难以抗拒某事，表现出无力感时使用,0,3,0,DOWN,1.0,3,0.8,dc_02274|dc_03284|dc_04263
DOWN,self_degradation,你永远猜不到女生P图P什么～,relational_marker,LLM_train_extraction+XHS,这句话暗示帖主对自己P图技术的无奈或自我贬低，表现出被动或受限的状态，符合DOWNWARD的特征,3,在没有明确比较对象或正面描述时，避免机械理解为UP或NEUTRAL,0,3,0,DOWN,1.0,3,0.9,dc_00027|dc_00097|dc_03771
DOWN,self_depreciation,虽然有点尬,neutralizer_frame,LLM_train_extraction+XHS,表达自己动作尴尬，暗示能力不足或不自信，符合DOWN标签的自我贬低,2,用于表达自己不够好或能力有限时,0,3,0,DOWN,1.0,3,0.5,dc_00026|dc_03700|dc_03770
DOWN,self_doubt_or_failure,是不是我应该选张其他的🤷🏻‍♂️,relational_marker,LLM_train_extraction+XHS,明显表达对自己决定的怀疑和不确定，体现自我否定,3,在表达犹豫或后悔时使用,0,3,0,DOWN,1.0,3,0.8,dc_00087|dc_03691|dc_03761
DOWN,social_control,当老板要求,relational_marker,LLM_train_extraction+XHS,暗示帖主被老板指示穿着，表现出被控制或受限的状态,3,用于描述被上级或他人强制或限制的情境,0,3,0,DOWN,1.0,3,0.8,dc_00130|dc_03804|dc_03734
DOWN,social_control,没有人能在这首bgm里打败香港,relational_marker,LLM_train_extraction+XHS,这句话暗示香港在某方面优越，帖主处于被动位置，强调香港的不可超越，体现被动和受控的状态,3,用于表达帖主或对象被动、受限、无法超越的情境,0,3,0,DOWN,1.0,3,0.767,dc_00029|dc_00099|dc_03773
DOWN,social_discrimination,感觉hk对于 穿着的包容性真的挺低的,domain_frame,LLM_train_extraction+XHS,表达对香港社会对穿着包容度低的感受，体现社会环境的限制和排斥,3,描述社会环境对个人穿着的限制或偏见时使用,0,3,0,DOWN,1.0,3,0.8,dc_00075|dc_00005|dc_03679
NEUTRAL,information_sharing,出租屋里都买了什么最值的东西,domain_frame,LLM_train_extraction+XHS,这是在询问出租屋中值得购买的物品，属于信息分享，没有明显的相对优劣指向,3,用于提出问题或分享经验时，不带有明显的优劣比较,0,0,3,NEUTRAL,1.0,3,0.833,nc_03607|nc_04605|nc_04446
NEUTRAL,neutral_information,好吃是真的很好吃，但是吃两个能腻半天🤦‍♀️,neutralizer_frame,LLM_train_extraction+XHS,表达对食物的喜好和感受，没有涉及相对立场,2,描述食物口感或感受时，不引入对比或价值判断,0,0,3,NEUTRAL,1.0,3,0.767,nc_01091|nc_01021|nc_04351
NEUTRAL,neutral_information,肉肉已经从潜意识里长到我的脸上了,relational_marker,LLM_train_extraction+XHS,描述身体变化，属于个人感受，没有明显的相对立场,2,用于表达个人身体变化或感受时，不涉及对比,0,0,3,NEUTRAL,1.0,3,0.733,nc_01091|nc_01021|nc_04351
NEUTRAL,relationship_insight,分手见人品,domain_frame,LLM_train_extraction+XHS,这句话表达对感情中人品的看法，属于客观观察，没有明显偏向UP或DOWN,3,用作描述感情状态或评价，不带明显情感色彩或立场,0,0,3,NEUTRAL,1.0,3,0.8,nc_02388|nc_03448|nc_04258
NEUTRAL,relationship_insight,回头草也有好吃的,domain_frame,LLM_train_extraction+XHS,暗示复合或旧情复燃，属于中性描述，没有明显偏向UP或DOWN,2,用作描述感情状态或行为，不带明显情感倾向,0,0,3,NEUTRAL,1.0,3,0.717,nc_02388|nc_03448|nc_04258
NEUTRAL,social_norms,不能炫耀,neutralizer_frame,LLM_train_extraction+XHS,表达对炫耀行为的限制，属于社会规范的描述，不涉及上下或下的立场,3,用于描述社会期待或规范时，不应暗示个人立场,0,0,3,NEUTRAL,1.0,3,0.767,nc_02379|nc_03459|nc_04269
UP,achievement_success,正式成为Dr. Zhong,domain_frame,LLM_train_extraction+XHS,表达获得学位和职业身份的成功，体现个人成就感，支持UP的立场,3,用于描述个人职业或学术成就时,3,0,0,UP,1.0,3,0.9,uc_03112|uc_03101|uc_03922
UP,beauty_appreciation,仙本那尊嘟太美了,domain_frame,LLM_train_extraction+XHS,直接表达对仙本那的美丽的欣赏，传递正面情感，支持UP标签,3,用于描述景色或环境的美丽，表达喜悦和满足,3,0,0,UP,1.0,3,0.8,uc_00097|uc_00810|uc_03819
UP,domain_frame,私密的场合,domain_frame,LLM_train_extraction+XHS,暗示照片拍摄在私密场合，体现特殊关系和高信任度，支持UP立场,2,描述私密场合时，强调关系亲密和信任,3,0,0,UP,1.0,3,0.75,uc_03122|uc_03932|uc_03962
UP,life_enjoyment,我的生命就应该浪费在这里,domain_frame,LLM_train_extraction+XHS,表达对仙本那的喜爱和享受，强调生活应在此度过，支持UP标签,3,用于表达对某地或生活状态的热爱，强调享受和满足感,3,0,0,UP,1.0,3,0.9,uc_00097|uc_00810|uc_03819
UP,life_satisfaction,感受并且珍惜生活中的小确幸,domain_frame,LLM_train_extraction+XHS,表达对生活中微小幸福的感受和珍惜，支持积极向上的生活态度,3,在描述日常生活中的微小幸福时使用，不应用于表达失落或否定情绪,3,0,0,UP,1.0,3,0.833,uc_02404|uc_03404|uc_04214
