error_type,meaning,extraction_goal,term,target_docfreq,contrast_docfreq,target_rate,contrast_rate,precision_like,log_odds,score,suggested_target_label,suggested_frame,suggested_cue_type,suggested_use
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,有些瞬,6,0,0.0091,0.0,1.0,5.0249,17.2073,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,有些瞬间,6,0,0.0091,0.0,1.0,5.0249,17.2073,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,为什么广,5,0,0.0076,0.0,1.0,4.8563,15.3311,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,为什么广东,5,0,0.0076,0.0,1.0,4.8563,15.3311,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,么广东,5,0,0.0076,0.0,1.0,4.8563,15.3311,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,什么广东,5,0,0.0076,0.0,1.0,4.8563,15.3311,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,想看看你的,5,0,0.0076,0.0,1.0,4.8563,15.3311,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,04-20,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,14块的,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,4-20,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,4块的,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,y：,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,不去看,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
up_to_neutral,UP recall gap,extract implicit high-resource/highlight cues and UP relation markers,会不会对,4,0,0.006,0.0,1.0,4.6541,13.3082,UP,high_resource_lifestyle,domain_frame,"add as UP cue if train examples show poster-owned highlight/resource/achievement, not third-party information"
