fold,id,gold_label,predicted_label,error_type,content,pred_support_terms,gold_support_terms_present
0,uc_00000,UP,DOWN,UP->DOWN,"高三生一个星期赚了一千八，算多吗？
每天晚上十点自习下课打游戏打到十二点半，第二天去上学，星期一到星期五都是这样的，星期六到星期一到星期天下午五点到晚上十二点，一个星期大概赚了一千八左右，算多吗？ #实际一点的副业 #生活费 #高三 #开启第二收入",这样|吗？|的，|学，|天晚上|天晚|晚上|样的，|上学|样的|上学，|这样的，,大概|晚上|上学，|学，|上学|天晚|样的|天晚上|样的，|这样的，|第二天|二天
0,uc_00007,UP,DOWN,UP->DOWN,"澳洲留子两个半月逆天改命爆减40斤+
接上篇很多宝问我怎么减肥？分享前我要说明 我的减肥非常错误小白，不健康不要学，本来不应该分享出来害人制造焦虑 这个世界不公平对女性要求太高了…😃
8.28到现在共减掉40多斤，上次发帖后又-5kg，目标55KG，身高172. 我减肥方法每天都饿死 没💩就吃CW西梅片😂酮疹我吃抗生素 低血糖就躺着吐拉肚子也不吃一点糖 饿死鬼的同时高强度打工运动 不打工就去健身房爬坡慢走一个半小时，低血糖从跑步机掉下来回家躺半小时继续去爬 结果不骗人最近的两周我根本没法控制我的大脑了 因为我吃的更少了我暴食我就催吐嗓子疼 饿的情绪失控 人很抑郁 以上都是副作用 但我真的太想瘦了 死也要瘦我还在坚持！瘦了才有爱情！饮食方面我觉得蛋白质是最强饮食，抗饿，减肥第一月一定要对自己狠😠因为是你毅力最强的时间，掉秤也明显很有动力，我第一个月摄入每天控制在300卡左右，体重不会一直下降 大小平台起起伏伏很正常 不会没有平台 我这么极端都经历N+平台 坦然对待数字
🍚主食：全麦面包麦芬 糙米 甜玉米和南瓜 想掉秤就不吃主食 （但会长酮疹）
🥩肉食：三文鱼❤️ Coles即食火腿 鸡腿肉去皮 鸡胸肉 黑胡椒牛排
🥬辅食：花生酱 酸奶 草莓解馋 瘦的快就绿叶菜 西红柿. 忍不住暴食薯片就吃豌豆脆, 搭配低卡高蛋白的茅屋芝士，让薯片会有饱腹感升糖慢😅无添加剂口淡才是减肥的关键 高盐0热量但是会让你食欲失控 少吃精细食物 能吃生的我直接吃 减肥的关键不是卡路里 是去找低升糖平稳食欲的食物（高蛋白质or优质脂肪比碳水抗饿）因为血糖控制大脑后期你真的没法控制 我一天就吃一顿有时候会胃疼….但吃早饭会让我食欲失控. 运动我就逛街逛超市能走路绝不坐车能站着绝不坐着 这些日常消耗最有效. ⚠️减肥要发展除了吃以外的一个爱好，不然一定坚持不了！我的爱好就是搞钱花钱ENFP，我就一直在自己脸上砸钱，打工赚钱，而且亲测ct杨国福麻辣烫打工一天500+大卡！有效Do脸减肥化妆能让女人脱胎换骨！瘦下来之后才能感受世界的善意，现在我冰箱门打不开都有人关心我，这要在以前都得笑话我把冰箱门掰坏了. 对我而言，这一次我是孤注一掷，减肥成了，就是脱胎换骨，失败了绝对没有好的身体再来一次了，因为这三个月实在是太黑暗….但是相信 坚持下去一定会得到自己想要的结果！
#悉尼减肥
#悉尼留学生
#澳洲留学",，我|怎么|了，|一直|现在|我真的|我真|钱，|之后|没有|正常|，就,世界|好的|分享|目标|or|小白|le|这个世界|这个世|es|大小|了！
0,uc_00014,UP,DOWN,UP->DOWN,"做医美都这么挣吗
 #美业 #美业新风口",,
0,uc_00040,UP,DOWN,UP->DOWN,"做个不扫兴的妈妈
其实当学生真的挺辛苦的，又要考试又常常睡眠不足，偶尔请个假也没什么。 虽然隔天又请假了[失望R]，但是妈妈的功用之一不就是用来请假的吗。我的教养理念, 没有什么比孩子身心健康更重要的了，学习好不代表以后一定有好的发展，但是心理健康快乐的孩子以后的路一定走的更开心更长远。
 
孩子与父母之间是家人不是仇人，需要更多的理解与换位思考，现在的孩子其实比我们以前辛苦，表面上好像他们什么都有，一切都很进步方便，应该很幸福，但是他们所面对的压力也不是我们上一代可以想象的，所处的世界复杂太多竞争太多，除了家庭条件学业成绩还需要具备各种软实力。 以前我们的比较竞争压力可能就是来自于家里跟学校，但是他们现在还有来自各种媒体，社交软件所带来的压力跟比较，所以有时候父母亲适当的站在孩子的角度为他们来思考感受，放过他们也是放过自己，好的亲子关系比什么都珍贵。
 
 #社会的边角料妈妈的小骄傲 #母女 #母女日常 #母女对话 #被需要的感觉真好 #不扫兴父母 #女儿奴 #我的女儿我来宠",父母|了，|也没|。我|现在|家里|家庭|，但是|没有|但是|，现在|有，,幸福|世界|更多的|好的|重要|开心|很幸|的世|的世界|快乐|更多|很幸福
0,uc_00069,UP,DOWN,UP->DOWN,"姐活着的动力：装逼 装逼 装逼
因为我发现装着装着什么都有了
 
为了发朋友圈，发高端朋友圈，努力赚钱，去旅游，去五星级酒店，去黑珍珠 。
为了拍照好看，一直减肥，身高170，体重48公斤。
为了显得自己很厉害，从十八线小城市到上海工作。
为了显得工作厉害，播音毕业的我硬着头皮学金融知识。还顺利考到了证。
 
以后我还要装逼。
考雅思
考研
努力赚钱
出国
我喜欢装逼。
 #精神自由就是姐的奢侈品 #不装了这才是我",一直|钱，|工作|什么|自己|因为|。还|，一直|还要|后我|得自|得自己,知识|喜欢|顺利|雅思|努力|上海|因为我|毕业|为我|珍珠|后我|自己
0,uc_00154,UP,DOWN,UP->DOWN,这是我来时的路。最近找了一下之前减肥的一些照片，尝试着剪了一个视频，马上夏天了希望可以激励每一个想做出改变的人，加油！,之前|人，|的人|。最近|了一个|的人，|时的|一些|每一|照片|尝试,照片|每一|尝试|一些|时的|的人，|的人|人，|了一个|。最近|之前
0,uc_00173,UP,DOWN,UP->DOWN,"春日粘土场景
#我的粘土世界 #超轻黏土手工作品 #黏土 #彩泥 #春日粘土场景 #超轻粘土 #微缩景观 #春天主题手工",,
0,uc_00211,UP,DOWN,UP->DOWN,"香港大学生兼职送外卖一天真实收入
今天整天一共送了3个小时，早上送了2单，晚上送了11单。总收入$599.8，平均下来每个小时约＄200，收获颇丰的一天 今天收入特别高的原因是因为全部都是近单，而且单价还很高。大家觉得怎么样呢？
#外卖小哥 #香港外卖员 #外卖员 #香港大学生 #香港大学生兼职",怎么|原因|因为|觉得|晚上|是因|是因为|怎么样|的原|收入|大家|3个,收获|收入|3个|晚上|的原|怎么样|是因为|是因|因为|香港|大家|觉得
0,uc_00227,UP,DOWN,UP->DOWN,"圖 排了一个半小时才买到的Labubu南瓜 ©
多谢小红书网友，看到帖子说K11有货，立马去排队。尽管小春野都卖光了，抢到一个南瓜还是开心的。#泡泡玛特 #labubu",了，|帖子|的。|了一个|开心|到的|，看|ab,开心|到的|，看|ab|了一个|的。|帖子|了，
0,uc_00240,UP,DOWN,UP->DOWN,"工作日出逃，香港海洋公园 電四字
工作日的海洋公园到处人都很少，缆车上山刷了所有的项目，看了海洋动物，然后下山在海底世界框框出片。今年是和两个同月同日生的妹妹一起庆祝生日，超级开心的一天！",工作|然后|，然|，然后|两个|妹妹|。今|刷了|，香港|，香|海底|开心,世界|开心|，看|日出|超级|，超|的海|公园|海洋|工作|刷了|，香
